Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Avg Vap Pres (mBars),qc,Max Air Temp (F),qc,Min Air Temp (F),qc,Avg Air Temp (F),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (F),qc,Avg Wind Speed (mph),qc,Wind Run (miles),qc,Avg Soil Temp (F),qc
6,Davis,Sacramento Valley,10/1/1982,274,0.13, ,0.00, ,458, ,10.2, ,86.1, ,40.7, ,60.2, ,96, ,21, ,57, ,45.0, ,2.7, ,65.2, ,64.6, 
6,Davis,Sacramento Valley,10/2/1982,275,0.13, ,0.00, ,442, ,10.6, ,87.8, ,44.9, ,62.7, ,92, ,21, ,55, ,46.1, ,3.3, ,79.5, ,64.8, 
6,Davis,Sacramento Valley,10/3/1982,276,0.14, ,0.00, ,445, ,11.1, ,85.8, ,44.1, ,62.5, ,94, ,28, ,57, ,47.3, ,5.7, ,136.2, ,65.1, 
6,Davis,Sacramento Valley,10/4/1982,277,0.12, ,0.00, ,442, ,11.3, ,79.2, ,49.1, ,60.6, ,91, ,30, ,63, ,47.8, ,6.0, ,144.8, ,65.0, 
6,Davis,Sacramento Valley,10/5/1982,278,0.15, ,0.00, ,445, ,9.4, ,82.2, ,48.4, ,61.9, ,87, ,21, ,50, ,43.0, ,5.3, ,127.4, ,64.3, 
6,Davis,Sacramento Valley,10/6/1982,279,0.10, ,0.00, ,286, ,12.2, ,72.8, ,47.6, ,59.0, ,94, ,40, ,72, ,49.8, ,8.0, ,192.5, ,63.8, 
6,Davis,Sacramento Valley,10/7/1982,280,0.22, ,0.00, ,442, ,7.2, ,73.3, ,40.4, ,59.1, ,91, ,16, ,42, ,36.0, ,12.0, ,286.9, ,62.7, 
6,Davis,Sacramento Valley,10/8/1982,281,0.30, ,0.00, ,434, ,6.7, ,80.2, ,56.6, ,67.3, ,45, ,17, ,29, ,34.1, ,16.4, ,393.5, ,61.9, 
6,Davis,Sacramento Valley,10/9/1982,282,0.25, ,0.00, ,434, ,7.8, ,86.6, ,51.9, ,69.1, ,72, ,14, ,32, ,38.3, ,11.0, ,264.8, ,62.4, 
6,Davis,Sacramento Valley,10/10/1982,283,0.20, ,0.00, ,428, ,6.7, ,84.9, ,51.0, ,67.3, ,57, ,12, ,29, ,34.3, ,7.1, ,171.4, ,62.9, 
6,Davis,Sacramento Valley,10/11/1982,284,0.15, ,0.00, ,416, ,8.3, ,87.5, ,42.2, ,63.4, ,86, ,16, ,42, ,39.8, ,3.1, ,74.0, ,64.7, 
6,Davis,Sacramento Valley,10/12/1982,285,0.13, ,5.20, ,398, ,9.6, ,90.5, ,44.6, ,64.5, ,84, ,18, ,46, ,43.5, ,2.1, ,50.9, ,65.7, 
6,Davis,Sacramento Valley,10/13/1982,286,0.13,F,12.56,R,296, ,10.2, ,88.1, ,48.3, ,65.8, ,76, ,20, ,47, ,45.1, ,3.8, ,91.8, ,65.0, 
6,Davis,Sacramento Valley,10/14/1982,287,0.18,F,3.11, ,386, ,11.9, ,86.6, ,47.1, ,65.0, ,92, ,21, ,56, ,49.1, ,3.3, ,79.7, ,65.0, 
6,Davis,Sacramento Valley,10/15/1982,288,0.18,F,0.91, ,384, ,12.0, ,91.2, ,46.4, ,64.3, ,94, ,20, ,58, ,49.3, ,3.4, ,80.9, ,65.1, 
6,Davis,Sacramento Valley,10/16/1982,289,0.16,F,0.12, ,371, ,12.2, ,85.0, ,46.2, ,61.1, ,96, ,34, ,67, ,49.8, ,5.5, ,131.0, ,64.8, 
6,Davis,Sacramento Valley,10/17/1982,290,0.15,F,0.04, ,333, ,12.9, ,74.9, ,46.4, ,58.0, ,96, ,49, ,78, ,51.3, ,5.4,H,129.4, ,64.1, 
6,Davis,Sacramento Valley,10/18/1982,291,0.14,F,0.00, ,363, ,8.9, ,77.0, ,41.8, ,59.0, ,95, ,24, ,52, ,41.5, ,5.7, ,136.0, ,62.7, 
6,Davis,Sacramento Valley,10/19/1982,292,0.14,F,0.75, ,318, ,8.1, ,86.9, ,52.6, ,64.8, ,64, ,17, ,39, ,39.0, ,6.1, ,146.6, ,62.6, 
6,Davis,Sacramento Valley,10/20/1982,293,0.14,F,0.00, ,241, ,15.4, ,81.6, ,51.6, ,64.1, ,90, ,55, ,75, ,56.1, ,4.3, ,103.1, ,63.5, 
6,Davis,Sacramento Valley,10/21/1982,294,0.14,F,0.04, ,109, ,16.8, ,69.3, ,52.2, ,62.1, ,95, ,77, ,88, ,58.6, ,4.4, ,106.7, ,63.8, 
6,Davis,Sacramento Valley,10/22/1982,295,0.14,F,0.04, ,128, ,17.2, ,77.5, ,55.5, ,64.6, ,95, ,62, ,83, ,59.2, ,4.0, ,95.4, ,64.2, 
6,Davis,Sacramento Valley,10/23/1982,296,0.13,F,0.00, ,360, ,15.9, ,81.1, ,56.1, ,66.8, ,94, ,44, ,71, ,57.1, ,4.2, ,100.4, ,65.1, 
6,Davis,Sacramento Valley,10/24/1982,297,0.10,F,0.51, ,215, ,16.2, ,81.6, ,53.7, ,65.1, ,94, ,57, ,77, ,57.6, ,4.4, ,104.4, ,65.3, 
6,Davis,Sacramento Valley,10/25/1982,298,0.12,F,0.94, ,106, ,17.2, ,67.4, ,55.9, ,61.7, ,93, ,87, ,92, ,59.2, ,10.4, ,249.9, ,65.3, 
6,Davis,Sacramento Valley,10/26/1982,299,0.12,F,0.04, ,318, ,11.7, ,68.6, ,47.6, ,56.2, ,92, ,47, ,76, ,48.7, ,5.7, ,137.0, ,63.9, 
6,Davis,Sacramento Valley,10/27/1982,300,0.11,F,0.00, ,358, ,10.7, ,65.2, ,42.0, ,52.2, ,95, ,53, ,80, ,46.3, ,5.8, ,140.2, ,62.1, 
6,Davis,Sacramento Valley,10/28/1982,301,0.11,F,0.00, ,281, ,10.5, ,74.5, ,39.0, ,53.5, ,99, ,36, ,75, ,45.8, ,2.6,H,62.3, ,60.7, 
6,Davis,Sacramento Valley,10/29/1982,302,0.10,F,0.55, ,115, ,13.0, ,62.9, ,50.2, ,56.3, ,94, ,65, ,84, ,51.5, ,6.1, ,146.2, ,61.2, 
6,Davis,Sacramento Valley,10/30/1982,303,0.10,F,0.39, ,120, ,13.4, ,62.1, ,49.0, ,54.6, ,97, ,84, ,92, ,52.3, ,6.6, ,158.4, ,60.7, 
6,Davis,Sacramento Valley,10/31/1982,304,0.10,F,0.00, ,345, ,11.5, ,78.6, ,43.4, ,55.5, ,97, ,35, ,76, ,48.2, ,4.2,H,100.8, ,60.1, 
6,Davis,Sacramento Valley,11/1/1982,305,0.10,F,0.00, ,237, ,12.1, ,66.5, ,45.4, ,53.4, ,100, ,64, ,87, ,49.6, ,5.4,H,129.3, ,60.1, 
