"Plot Title: 22310148"
"#","Date Time, GMT-08:00","Low Range, μS/cm (LGR S/N: 22310148, SEN S/N: 22310148)","Temp, °C (LGR S/N: 22310148, SEN S/N: 22310148)","Coupler Detached (LGR S/N: 22310148)","Coupler Attached (LGR S/N: 22310148)","Host Connected (LGR S/N: 22310148)","Stopped (LGR S/N: 22310148)","End Of File (LGR S/N: 22310148)"
1,12/18/25 02:00:00 PM,1.7,16.56,Logged,,,,
2,12/18/25 02:30:00 PM,1.7,16.93,,,,,
3,12/18/25 03:00:00 PM,3.2,15.43,,,,,
4,12/18/25 03:30:00 PM,1.7,15.74,,,,,
5,12/18/25 04:00:00 PM,1.7,14.97,,,,,
6,12/18/25 04:30:00 PM,1.6,13.38,,,,,
7,12/18/25 05:00:00 PM,1.7,11.88,,,,,
8,12/18/25 05:30:00 PM,1.7,10.87,,,,,
9,12/18/25 06:00:00 PM,1.1,10.45,,,,,
10,12/18/25 06:30:00 PM,1.7,10.61,,,,,
11,12/18/25 07:00:00 PM,1.6,10.54,,,,,
12,12/18/25 07:30:00 PM,1.7,10.79,,,,,
13,12/18/25 08:00:00 PM,1.7,10.96,,,,,
14,12/18/25 08:30:00 PM,1.6,10.90,,,,,
15,12/18/25 09:00:00 PM,1.6,11.01,,,,,
16,12/18/25 09:30:00 PM,1.6,11.03,,,,,
17,12/18/25 10:00:00 PM,1.6,11.05,,,,,
18,12/18/25 10:30:00 PM,1.6,11.08,,,,,
19,12/18/25 11:00:00 PM,1.6,11.00,,,,,
20,12/18/25 11:30:00 PM,1.6,10.88,,,,,
21,12/19/25 12:00:00 AM,1.6,11.17,,,,,
22,12/19/25 12:30:00 AM,1.7,11.28,,,,,
23,12/19/25 01:00:00 AM,1.6,11.28,,,,,
24,12/19/25 01:30:00 AM,1.1,11.28,,,,,
25,12/19/25 02:00:00 AM,1.6,11.34,,,,,
26,12/19/25 02:30:00 AM,0.9,11.41,,,,,
27,12/19/25 03:00:00 AM,1.6,11.49,,,,,
28,12/19/25 03:30:00 AM,3.5,11.51,,,,,
29,12/19/25 04:00:00 AM,1.6,11.47,,,,,
30,12/19/25 04:30:00 AM,1.1,11.54,,,,,
31,12/19/25 05:00:00 AM,0.9,11.46,,,,,
32,12/19/25 05:30:00 AM,1.6,11.49,,,,,
33,12/19/25 06:00:00 AM,1.7,11.43,,,,,
34,12/19/25 06:30:00 AM,1.7,11.33,,,,,
35,12/19/25 07:00:00 AM,1.7,11.32,,,,,
36,12/19/25 07:30:00 AM,1.1,11.24,,,,,
37,12/19/25 08:00:00 AM,1.7,11.30,,,,,
38,12/19/25 08:30:00 AM,1.6,11.54,,,,,
39,12/19/25 09:00:00 AM,1.6,11.76,,,,,
40,12/19/25 09:30:00 AM,1.6,11.75,,,,,
41,12/19/25 10:00:00 AM,1.6,12.05,,,,,
42,12/19/25 10:30:00 AM,1.6,11.97,,,,,
43,12/19/25 11:00:00 AM,1.6,12.14,,,,,
44,12/19/25 11:30:00 AM,1.4,12.58,,,,,
45,12/19/25 12:00:00 PM,1.6,13.08,,,,,
46,12/19/25 12:30:00 PM,1.7,13.40,,,,,
47,12/19/25 01:00:00 PM,1.6,13.35,,,,,
48,12/19/25 01:30:00 PM,1.7,13.71,,,,,
49,12/19/25 02:00:00 PM,1.7,13.56,,,,,
50,12/19/25 02:30:00 PM,1.1,13.64,,,,,
51,12/19/25 03:00:00 PM,1.7,13.36,,,,,
52,12/19/25 03:30:00 PM,1.6,12.67,,,,,
53,12/19/25 04:00:00 PM,1.7,12.42,,,,,
54,12/19/25 04:30:00 PM,1.7,12.52,,,,,
55,12/19/25 05:00:00 PM,1.6,12.55,,,,,
56,12/19/25 05:30:00 PM,1.1,12.47,,,,,
57,12/19/25 06:00:00 PM,1.6,12.39,,,,,
58,12/19/25 06:30:00 PM,1.7,12.47,,,,,
59,12/19/25 07:00:00 PM,0.9,12.51,,,,,
60,12/19/25 07:30:00 PM,1.6,12.52,,,,,
61,12/19/25 08:00:00 PM,1.6,12.55,,,,,
62,12/19/25 08:30:00 PM,1.6,12.64,,,,,
63,12/19/25 09:00:00 PM,1.6,12.75,,,,,
64,12/19/25 09:30:00 PM,1.7,12.83,,,,,
65,12/19/25 10:00:00 PM,1.6,12.89,,,,,
66,12/19/25 10:30:00 PM,1.6,12.94,,,,,
67,12/19/25 11:00:00 PM,1.6,12.97,,,,,
68,12/19/25 11:30:00 PM,1.1,13.02,,,,,
69,12/20/25 12:00:00 AM,1.7,13.13,,,,,
70,12/20/25 12:30:00 AM,1.7,13.06,,,,,
71,12/20/25 01:00:00 AM,1.7,12.96,,,,,
72,12/20/25 01:30:00 AM,1.7,12.87,,,,,
73,12/20/25 02:00:00 AM,1.7,12.67,,,,,
74,12/20/25 02:30:00 AM,1.6,12.56,,,,,
75,12/20/25 03:00:00 AM,1.7,12.52,,,,,
76,12/20/25 03:30:00 AM,1.6,12.43,,,,,
77,12/20/25 04:00:00 AM,1.6,12.35,,,,,
78,12/20/25 04:30:00 AM,1.6,12.31,,,,,
79,12/20/25 05:00:00 AM,1.7,12.27,,,,,
80,12/20/25 05:30:00 AM,1.7,12.26,,,,,
81,12/20/25 06:00:00 AM,1.6,12.17,,,,,
82,12/20/25 06:30:00 AM,1.6,12.21,,,,,
83,12/20/25 07:00:00 AM,1.6,12.25,,,,,
84,12/20/25 07:30:00 AM,1.7,12.20,,,,,
85,12/20/25 08:00:00 AM,1.6,12.25,,,,,
86,12/20/25 08:30:00 AM,1.6,12.50,,,,,
87,12/20/25 09:00:00 AM,1.7,12.88,,,,,
88,12/20/25 09:30:00 AM,1.7,13.27,,,,,
89,12/20/25 10:00:00 AM,1.6,13.54,,,,,
90,12/20/25 10:30:00 AM,1.6,13.12,,,,,
91,12/20/25 11:00:00 AM,1.6,13.40,,,,,
92,12/20/25 11:30:00 AM,0.9,14.07,,,,,
93,12/20/25 12:00:00 PM,1.7,14.47,,,,,
94,12/20/25 12:30:00 PM,1.7,14.11,,,,,
95,12/20/25 01:00:00 PM,1.6,14.44,,,,,
96,12/20/25 01:30:00 PM,1.6,14.36,,,,,
97,12/20/25 02:00:00 PM,1.7,14.21,,,,,
98,12/20/25 02:30:00 PM,1.7,14.13,,,,,
