"Plot Title: 22310149"
"#","Date Time, GMT-08:00","Low Range, μS/cm (LGR S/N: 22310149, SEN S/N: 22310149)","Temp, °C (LGR S/N: 22310149, SEN S/N: 22310149)","Coupler Detached (LGR S/N: 22310149)","Coupler Attached (LGR S/N: 22310149)","Host Connected (LGR S/N: 22310149)","End Of File (LGR S/N: 22310149)"
1,11/04/25 02:00:00 PM,1.4,23.10,Logged,,,
2,11/04/25 02:30:00 PM,377.5,18.40,,,,
3,11/04/25 03:00:00 PM,388.6,19.03,,,,
4,11/04/25 03:30:00 PM,388.3,19.52,,,,
5,11/04/25 04:00:00 PM,387.5,19.56,,,,
6,11/04/25 04:30:00 PM,387.1,19.43,,,,
7,11/04/25 05:00:00 PM,382.7,18.97,,,,
8,11/04/25 05:30:00 PM,380.3,18.71,,,,
9,11/04/25 06:00:00 PM,377.7,18.42,,,,
10,11/04/25 06:30:00 PM,374.1,18.07,,,,
11,11/04/25 07:00:00 PM,370.6,17.67,,,,
12,11/04/25 07:30:00 PM,367.7,17.35,,,,
13,11/04/25 08:00:00 PM,366.6,17.21,,,,
14,11/04/25 08:30:00 PM,364.0,16.92,,,,
15,11/04/25 09:00:00 PM,362.1,16.74,,,,
16,11/04/25 09:30:00 PM,361.3,16.60,,,,
17,11/04/25 10:00:00 PM,359.8,16.40,,,,
18,11/04/25 10:30:00 PM,358.2,16.24,,,,
19,11/04/25 11:00:00 PM,357.0,16.09,,,,
20,11/04/25 11:30:00 PM,356.1,15.94,,,,
21,11/05/25 12:00:00 AM,354.8,15.78,,,,
22,11/05/25 12:30:00 AM,353.8,15.63,,,,
23,11/05/25 01:00:00 AM,353.1,15.53,,,,
24,11/05/25 01:30:00 AM,352.3,15.38,,,,
25,11/05/25 02:00:00 AM,352.5,15.28,,,,
26,11/05/25 02:30:00 AM,352.2,15.20,,,,
27,11/05/25 03:00:00 AM,350.8,15.12,,,,
28,11/05/25 03:30:00 AM,351.2,15.10,,,,
29,11/05/25 04:00:00 AM,352.1,15.02,,,,
30,11/05/25 04:30:00 AM,350.6,14.96,,,,
31,11/05/25 05:00:00 AM,347.6,14.96,,,,
32,11/05/25 05:30:00 AM,346.9,14.92,,,,
33,11/05/25 06:00:00 AM,347.5,14.88,,,,
34,11/05/25 06:30:00 AM,345.8,14.83,,,,
35,11/05/25 07:00:00 AM,341.5,14.79,,,,
36,11/05/25 07:30:00 AM,338.3,14.82,,,,
37,11/05/25 08:00:00 AM,341.0,14.87,,,,
38,11/05/25 08:30:00 AM,344.0,14.94,,,,
39,11/05/25 09:00:00 AM,347.6,14.92,,,,
40,11/05/25 09:30:00 AM,348.1,14.95,,,,
41,11/05/25 10:00:00 AM,345.1,14.99,,,,
42,11/05/25 10:30:00 AM,342.2,15.14,,,,
43,11/05/25 11:00:00 AM,342.3,15.30,,,,
44,11/05/25 11:30:00 AM,343.7,15.57,,,,
45,11/05/25 12:00:00 PM,343.3,15.58,,,,
46,11/05/25 12:30:00 PM,343.6,15.61,,,,
47,11/05/25 01:00:00 PM,343.9,15.62,,,,
48,11/05/25 01:30:00 PM,344.5,15.63,,,,
49,11/05/25 02:00:00 PM,344.5,15.62,,,,
50,11/05/25 02:30:00 PM,344.9,15.59,,,,
51,11/05/25 03:00:00 PM,345.7,15.57,,,,
52,11/05/25 03:30:00 PM,345.0,15.55,,,,
53,11/05/25 04:00:00 PM,345.4,15.53,,,,
54,11/05/25 04:30:00 PM,344.4,15.53,,,,
55,11/05/25 05:00:00 PM,343.1,15.49,,,,
56,11/05/25 05:30:00 PM,342.1,15.42,,,,
57,11/05/25 06:00:00 PM,341.7,15.37,,,,
58,11/05/25 06:30:00 PM,341.4,15.31,,,,
59,11/05/25 07:00:00 PM,341.3,15.24,,,,
60,11/05/25 07:30:00 PM,341.1,15.19,,,,
61,11/05/25 08:00:00 PM,341.7,15.12,,,,
62,11/05/25 08:30:00 PM,345.1,15.02,,,,
63,11/05/25 09:00:00 PM,341.6,14.92,,,,
64,11/05/25 09:30:00 PM,341.3,14.87,,,,
65,11/05/25 10:00:00 PM,345.0,14.80,,,,
66,11/05/25 10:30:00 PM,346.2,14.74,,,,
67,11/05/25 11:00:00 PM,342.5,14.62,,,,
68,11/05/25 11:30:00 PM,338.1,14.51,,,,
69,11/06/25 12:00:00 AM,339.4,14.41,,,,
70,11/06/25 12:30:00 AM,337.2,14.36,,,,
71,11/06/25 01:00:00 AM,336.7,14.33,,,,
72,11/06/25 01:30:00 AM,336.2,14.25,,,,
73,11/06/25 02:00:00 AM,337.2,14.23,,,,
74,11/06/25 02:30:00 AM,336.6,14.19,,,,
75,11/06/25 03:00:00 AM,335.5,14.16,,,,
76,11/06/25 03:30:00 AM,336.6,14.04,,,,
77,11/06/25 04:00:00 AM,332.5,13.95,,,,
78,11/06/25 04:30:00 AM,331.2,13.92,,,,
79,11/06/25 05:00:00 AM,332.5,13.81,,,,
80,11/06/25 05:30:00 AM,332.6,13.71,,,,
81,11/06/25 06:00:00 AM,331.4,13.61,,,,
82,11/06/25 06:30:00 AM,331.2,13.50,,,,
83,11/06/25 07:00:00 AM,332.0,13.41,,,,
84,11/06/25 07:30:00 AM,331.3,13.38,,,,
85,11/06/25 08:00:00 AM,331.4,13.46,,,,
86,11/06/25 08:30:00 AM,331.3,13.60,,,,
87,11/06/25 09:00:00 AM,333.4,13.72,,,,
88,11/06/25 09:30:00 AM,332.1,13.89,,,,
89,11/06/25 10:00:00 AM,337.2,14.64,,,,
90,11/06/25 10:30:00 AM,346.2,15.89,,,,
91,11/06/25 11:00:00 AM,337.7,15.06,,,,
92,11/06/25 11:30:00 AM,338.3,15.26,,,,
93,11/06/25 12:00:00 PM,343.2,15.82,,,,
94,11/06/25 12:30:00 PM,344.6,16.09,,,,
95,11/06/25 01:00:00 PM,346.9,16.48,,,,
96,11/06/25 01:30:00 PM,347.8,16.72,,,,
97,11/06/25 02:00:00 PM,347.0,16.70,,,,
98,11/06/25 02:30:00 PM,348.0,16.90,,,,
99,11/06/25 03:00:00 PM,349.1,17.03,,,,
100,11/06/25 03:30:00 PM,351.7,17.33,,,,
101,11/06/25 04:00:00 PM,355.9,17.77,,,,
102,11/06/25 04:30:00 PM,367.9,19.05,,,,
103,11/06/25 05:00:00 PM,372.1,19.33,,,,
104,11/06/25 05:30:00 PM,379.2,19.27,,,,
105,11/06/25 06:00:00 PM,377.3,18.97,,,,
106,11/06/25 06:30:00 PM,375.6,18.60,,,,
107,11/06/25 07:00:00 PM,371.9,18.15,,,,
108,11/06/25 07:30:00 PM,368.9,17.87,,,,
109,11/06/25 08:00:00 PM,366.3,17.57,,,,
110,11/06/25 08:30:00 PM,364.5,17.40,,,,
111,11/06/25 09:00:00 PM,361.1,17.08,,,,
112,11/06/25 09:30:00 PM,359.2,16.90,,,,
113,11/06/25 10:00:00 PM,357.4,16.73,,,,
114,11/06/25 10:30:00 PM,355.5,16.60,,,,
115,11/06/25 11:00:00 PM,354.2,16.40,,,,
116,11/06/25 11:30:00 PM,352.5,16.24,,,,
117,11/07/25 12:00:00 AM,351.1,16.05,,,,
118,11/07/25 12:30:00 AM,348.3,15.86,,,,
119,11/07/25 01:00:00 AM,346.3,15.67,,,,
120,11/07/25 01:30:00 AM,345.8,15.55,,,,
121,11/07/25 02:00:00 AM,345.4,15.47,,,,
122,11/07/25 02:30:00 AM,342.9,15.46,,,,
123,11/07/25 03:00:00 AM,342.4,15.34,,,,
124,11/07/25 03:30:00 AM,341.0,15.24,,,,
125,11/07/25 04:00:00 AM,340.7,15.22,,,,
126,11/07/25 04:30:00 AM,339.8,15.15,,,,
127,11/07/25 05:00:00 AM,338.2,15.07,,,,
128,11/07/25 05:30:00 AM,337.2,15.02,,,,
129,11/07/25 06:00:00 AM,336.3,14.95,,,,
130,11/07/25 06:30:00 AM,335.9,14.90,,,,
131,11/07/25 07:00:00 AM,335.7,14.90,,,,
132,11/07/25 07:30:00 AM,335.7,14.91,,,,
133,11/07/25 08:00:00 AM,336.0,14.98,,,,
134,11/07/25 08:30:00 AM,337.3,15.11,,,,
135,11/07/25 09:00:00 AM,338.8,15.22,,,,
136,11/07/25 09:30:00 AM,339.4,15.39,,,,
137,11/07/25 10:00:00 AM,343.0,15.97,,,,
138,11/07/25 10:30:00 AM,338.8,15.69,,,,
139,11/07/25 11:00:00 AM,342.4,16.13,,,,
140,11/07/25 11:30:00 AM,347.2,16.74,,,,
141,11/07/25 12:00:00 PM,352.6,17.36,,,,
142,11/07/25 12:30:00 PM,352.6,17.47,,,,
143,11/07/25 01:00:00 PM,355.7,17.91,,,,
144,11/07/25 01:30:00 PM,358.9,18.24,,,,
145,11/07/25 02:00:00 PM,357.3,18.04,,,,
146,11/07/25 02:30:00 PM,354.6,17.71,,,,
147,11/07/25 03:00:00 PM,359.5,18.23,,,,
148,11/07/25 03:30:00 PM,361.2,18.50,,,,
149,11/07/25 04:00:00 PM,360.7,18.40,,,,
150,11/07/25 04:30:00 PM,360.0,18.34,,,,
151,11/07/25 05:00:00 PM,358.8,18.19,,,,
152,11/07/25 05:30:00 PM,358.7,18.14,,,,
153,11/07/25 06:00:00 PM,359.0,18.08,,,,
154,11/07/25 06:30:00 PM,359.5,17.91,,,,
155,11/07/25 07:00:00 PM,357.9,17.79,,,,
156,11/07/25 07:30:00 PM,351.6,17.51,,,,
157,11/07/25 08:00:00 PM,351.3,17.24,,,,
158,11/07/25 08:30:00 PM,349.4,17.04,,,,
159,11/07/25 09:00:00 PM,348.0,16.85,,,,
160,11/07/25 09:30:00 PM,345.7,16.60,,,,
161,11/07/25 10:00:00 PM,344.2,16.45,,,,
162,11/07/25 10:30:00 PM,342.4,16.28,,,,
163,11/07/25 11:00:00 PM,342.8,16.30,,,,
164,11/07/25 11:30:00 PM,341.7,16.14,,,,
165,11/08/25 12:00:00 AM,340.8,16.02,,,,
166,11/08/25 12:30:00 AM,339.4,15.90,,,,
167,11/08/25 01:00:00 AM,337.9,15.75,,,,
168,11/08/25 01:30:00 AM,336.2,15.65,,,,
169,11/08/25 02:00:00 AM,335.6,15.49,,,,
170,11/08/25 02:30:00 AM,335.1,15.34,,,,
171,11/08/25 03:00:00 AM,334.5,15.20,,,,
172,11/08/25 03:30:00 AM,333.8,15.08,,,,
173,11/08/25 04:00:00 AM,333.4,14.95,,,,
174,11/08/25 04:30:00 AM,332.9,14.83,,,,
175,11/08/25 05:00:00 AM,332.2,14.71,,,,
176,11/08/25 05:30:00 AM,331.3,14.60,,,,
177,11/08/25 06:00:00 AM,330.5,14.52,,,,
178,11/08/25 06:30:00 AM,329.8,14.40,,,,
179,11/08/25 07:00:00 AM,329.5,14.31,,,,
180,11/08/25 07:30:00 AM,328.0,14.20,,,,
181,11/08/25 08:00:00 AM,328.6,14.21,,,,
182,11/08/25 08:30:00 AM,330.4,14.32,,,,
183,11/08/25 09:00:00 AM,332.3,14.45,,,,
184,11/08/25 09:30:00 AM,333.2,14.66,,,,
185,11/08/25 10:00:00 AM,333.2,14.87,,,,
186,11/08/25 10:30:00 AM,334.0,15.07,,,,
187,11/08/25 11:00:00 AM,335.7,15.31,,,,
188,11/08/25 11:30:00 AM,339.8,15.73,,,,
189,11/08/25 12:00:00 PM,342.0,16.06,,,,
190,11/08/25 12:30:00 PM,343.8,16.33,,,,
191,11/08/25 01:00:00 PM,345.4,16.62,,,,
192,11/08/25 01:30:00 PM,346.9,16.86,,,,
193,11/08/25 02:00:00 PM,348.4,17.07,,,,
194,11/08/25 02:30:00 PM,350.4,17.19,,,,
195,11/08/25 03:00:00 PM,350.6,17.23,,,,
196,11/08/25 03:30:00 PM,352.0,17.39,,,,
197,11/08/25 04:00:00 PM,350.8,17.25,,,,
198,11/08/25 04:30:00 PM,351.6,17.29,,,,
199,11/08/25 05:00:00 PM,352.7,17.43,,,,
200,11/08/25 05:30:00 PM,353.0,17.37,,,,
201,11/08/25 06:00:00 PM,353.0,17.32,,,,
202,11/08/25 06:30:00 PM,352.9,17.28,,,,
203,11/08/25 07:00:00 PM,353.7,17.24,,,,
204,11/08/25 07:30:00 PM,355.0,17.24,,,,
205,11/08/25 08:00:00 PM,355.2,17.17,,,,
206,11/08/25 08:30:00 PM,350.6,17.07,,,,
207,11/08/25 09:00:00 PM,348.2,16.86,,,,
208,11/08/25 09:30:00 PM,347.9,16.74,,,,
209,11/08/25 10:00:00 PM,346.9,16.65,,,,
210,11/08/25 10:30:00 PM,345.4,16.52,,,,
211,11/08/25 11:00:00 PM,344.5,16.40,,,,
212,11/08/25 11:30:00 PM,343.4,16.26,,,,
213,11/09/25 12:00:00 AM,342.7,16.13,,,,
214,11/09/25 12:30:00 AM,342.2,15.99,,,,
215,11/09/25 01:00:00 AM,341.5,15.82,,,,
216,11/09/25 01:30:00 AM,341.2,15.73,,,,
217,11/09/25 02:00:00 AM,340.7,15.59,,,,
218,11/09/25 02:30:00 AM,339.6,15.46,,,,
219,11/09/25 03:00:00 AM,339.0,15.35,,,,
220,11/09/25 03:30:00 AM,338.2,15.22,,,,
221,11/09/25 04:00:00 AM,337.5,15.12,,,,
222,11/09/25 04:30:00 AM,336.9,15.00,,,,
223,11/09/25 05:00:00 AM,336.4,14.91,,,,
224,11/09/25 05:30:00 AM,335.5,14.76,,,,
225,11/09/25 06:00:00 AM,334.7,14.64,,,,
226,11/09/25 06:30:00 AM,333.9,14.58,,,,
227,11/09/25 07:00:00 AM,332.9,14.43,,,,
228,11/09/25 07:30:00 AM,332.3,14.41,,,,
229,11/09/25 08:00:00 AM,332.6,14.43,,,,
230,11/09/25 08:30:00 AM,333.7,14.60,,,,
231,11/09/25 09:00:00 AM,335.1,14.87,,,,
232,11/09/25 09:30:00 AM,337.1,15.14,,,,
233,11/09/25 10:00:00 AM,340.2,15.51,,,,
234,11/09/25 10:30:00 AM,343.6,15.89,,,,
235,11/09/25 11:00:00 AM,348.7,16.48,,,,
236,11/09/25 11:30:00 AM,352.6,17.08,,,,
237,11/09/25 12:00:00 PM,355.4,17.44,,,,
238,11/09/25 12:30:00 PM,356.2,17.67,,,,
239,11/09/25 01:00:00 PM,357.5,17.87,,,,
240,11/09/25 01:30:00 PM,363.5,18.59,,,,
241,11/09/25 02:00:00 PM,361.1,18.39,,,,
242,11/09/25 02:30:00 PM,359.1,18.12,,,,
243,11/09/25 03:00:00 PM,359.7,18.06,,,,
244,11/09/25 03:30:00 PM,360.9,17.87,,,,
245,11/09/25 04:00:00 PM,361.2,18.30,,,,
246,11/09/25 04:30:00 PM,361.1,17.77,,,,
247,11/09/25 05:00:00 PM,361.4,17.81,,,,
248,11/09/25 05:30:00 PM,364.3,17.71,,,,
249,11/09/25 06:00:00 PM,364.7,17.61,,,,
250,11/09/25 06:30:00 PM,365.9,17.60,,,,
251,11/09/25 07:00:00 PM,367.5,17.56,,,,
252,11/09/25 07:30:00 PM,369.3,17.52,,,,
253,11/09/25 08:00:00 PM,370.0,17.47,,,,
254,11/09/25 08:30:00 PM,371.2,17.43,,,,
255,11/09/25 09:00:00 PM,355.4,17.24,,,,
256,11/09/25 09:30:00 PM,354.2,17.08,,,,
257,11/09/25 10:00:00 PM,352.0,16.88,,,,
258,11/09/25 10:30:00 PM,351.0,16.70,,,,
259,11/09/25 11:00:00 PM,349.4,16.61,,,,
260,11/09/25 11:30:00 PM,347.8,16.54,,,,
261,11/10/25 12:00:00 AM,347.0,16.48,,,,
262,11/10/25 12:30:00 AM,345.8,16.38,,,,
263,11/10/25 01:00:00 AM,347.5,16.29,,,,
264,11/10/25 01:30:00 AM,345.9,16.17,,,,
265,11/10/25 02:00:00 AM,346.0,16.02,,,,
266,11/10/25 02:30:00 AM,346.3,15.85,,,,
267,11/10/25 03:00:00 AM,346.1,15.77,,,,
268,11/10/25 03:30:00 AM,345.9,15.65,,,,
269,11/10/25 04:00:00 AM,344.4,15.50,,,,
