"Plot Title: 22368006"
"#","Date Time, GMT-08:00","Low Range, μS/cm (LGR S/N: 22368006, SEN S/N: 22368006)","Temp, °C (LGR S/N: 22368006, SEN S/N: 22368006)","Coupler Detached (LGR S/N: 22368006)","Coupler Attached (LGR S/N: 22368006)","Host Connected (LGR S/N: 22368006)","Stopped (LGR S/N: 22368006)","End Of File (LGR S/N: 22368006)"
1,11/18/25 01:00:00 PM,3.0,16.62,Logged,,,,
2,11/18/25 01:30:00 PM,1.8,16.46,,,,,
3,11/18/25 02:00:00 PM,1.8,18.18,,,,,
4,11/18/25 02:30:00 PM,352.2,16.15,,,,,
5,11/18/25 03:00:00 PM,354.4,16.39,,,,,
6,11/18/25 03:30:00 PM,355.7,16.55,,,,,
7,11/18/25 04:00:00 PM,355.8,16.55,,,,,
8,11/18/25 04:30:00 PM,355.0,16.45,,,,,
9,11/18/25 05:00:00 PM,354.1,16.33,,,,,
10,11/18/25 05:30:00 PM,353.4,16.22,,,,,
11,11/18/25 06:00:00 PM,352.3,16.05,,,,,
12,11/18/25 06:30:00 PM,350.3,15.83,,,,,
13,11/18/25 07:00:00 PM,348.5,15.59,,,,,
14,11/18/25 07:30:00 PM,346.5,15.31,,,,,
15,11/18/25 08:00:00 PM,345.1,15.06,,,,,
16,11/18/25 08:30:00 PM,343.4,14.80,,,,,
17,11/18/25 09:00:00 PM,342.5,14.59,,,,,
18,11/18/25 09:30:00 PM,341.1,14.32,,,,,
19,11/18/25 10:00:00 PM,340.5,14.11,,,,,
20,11/18/25 10:30:00 PM,339.3,13.89,,,,,
21,11/18/25 11:00:00 PM,338.6,13.71,,,,,
22,11/18/25 11:30:00 PM,337.7,13.52,,,,,
23,11/19/25 12:00:00 AM,337.0,13.35,,,,,
24,11/19/25 12:30:00 AM,335.6,13.12,,,,,
25,11/19/25 01:00:00 AM,335.2,13.03,,,,,
26,11/19/25 01:30:00 AM,334.6,12.93,,,,,
27,11/19/25 02:00:00 AM,333.9,12.85,,,,,
28,11/19/25 02:30:00 AM,333.6,12.77,,,,,
29,11/19/25 03:00:00 AM,333.0,12.68,,,,,
30,11/19/25 03:30:00 AM,332.9,12.63,,,,,
31,11/19/25 04:00:00 AM,332.6,12.59,,,,,
32,11/19/25 04:30:00 AM,332.8,12.57,,,,,
33,11/19/25 05:00:00 AM,332.9,12.53,,,,,
34,11/19/25 05:30:00 AM,332.5,12.49,,,,,
35,11/19/25 06:00:00 AM,331.9,12.45,,,,,
36,11/19/25 06:30:00 AM,331.4,12.42,,,,,
37,11/19/25 07:00:00 AM,331.4,12.39,,,,,
38,11/19/25 07:30:00 AM,331.7,12.38,,,,,
39,11/19/25 08:00:00 AM,332.1,12.38,,,,,
40,11/19/25 08:30:00 AM,333.1,12.42,,,,,
41,11/19/25 09:00:00 AM,334.5,12.50,,,,,
42,11/19/25 09:30:00 AM,336.2,12.68,,,,,
43,11/19/25 10:00:00 AM,338.4,12.86,,,,,
44,11/19/25 10:30:00 AM,340.4,13.08,,,,,
45,11/19/25 11:00:00 AM,342.3,13.25,,,,,
46,11/19/25 11:30:00 AM,344.9,13.45,,,,,
47,11/19/25 12:00:00 PM,347.3,13.63,,,,,
48,11/19/25 12:30:00 PM,349.1,13.84,,,,,
49,11/19/25 01:00:00 PM,350.7,14.11,,,,,
50,11/19/25 01:30:00 PM,353.0,14.40,,,,,
51,11/19/25 02:00:00 PM,355.4,14.64,,,,,
52,11/19/25 02:30:00 PM,357.7,14.81,,,,,
53,11/19/25 03:00:00 PM,359.7,14.96,,,,,
54,11/19/25 03:30:00 PM,361.5,15.11,,,,,
55,11/19/25 04:00:00 PM,362.7,15.21,,,,,
56,11/19/25 04:30:00 PM,362.3,15.19,,,,,
57,11/19/25 05:00:00 PM,361.7,15.11,,,,,
58,11/19/25 05:30:00 PM,360.7,15.00,,,,,
59,11/19/25 06:00:00 PM,359.9,14.89,,,,,
60,11/19/25 06:30:00 PM,359.1,14.76,,,,,
61,11/19/25 07:00:00 PM,358.5,14.64,,,,,
62,11/19/25 07:30:00 PM,357.8,14.50,,,,,
63,11/19/25 08:00:00 PM,357.1,14.37,,,,,
