"Plot Title: 22368007"
"#","Date Time, GMT-08:00","Low Range, μS/cm (LGR S/N: 22368007, SEN S/N: 22368007)","Temp, °C (LGR S/N: 22368007, SEN S/N: 22368007)","Coupler Detached (LGR S/N: 22368007)","Coupler Attached (LGR S/N: 22368007)","Host Connected (LGR S/N: 22368007)","Stopped (LGR S/N: 22368007)","End Of File (LGR S/N: 22368007)"
1,01/20/26 10:00:00 AM,3.5,14.25,Logged,,,,
2,01/20/26 10:30:00 AM,2.1,13.90,,,,,
3,01/20/26 11:00:00 AM,1.9,14.81,,,,,
4,01/20/26 11:30:00 AM,2.1,17.86,,,,,
5,01/20/26 12:00:00 PM,190.5,9.99,,,,,
6,01/20/26 12:30:00 PM,192.5,10.25,,,,,
7,01/20/26 01:00:00 PM,195.1,10.61,,,,,
8,01/20/26 01:30:00 PM,196.6,10.85,,,,,
9,01/20/26 02:00:00 PM,198.8,11.23,,,,,
10,01/20/26 02:30:00 PM,200.2,11.51,,,,,
11,01/20/26 03:00:00 PM,199.7,11.45,,,,,
12,01/20/26 03:30:00 PM,199.6,11.77,,,,,
13,01/20/26 04:00:00 PM,199.9,11.86,,,,,
14,01/20/26 04:30:00 PM,205.7,11.86,,,,,
15,01/20/26 05:00:00 PM,199.6,11.82,,,,,
16,01/20/26 05:30:00 PM,199.0,11.73,,,,,
17,01/20/26 06:00:00 PM,198.2,11.60,,,,,
18,01/20/26 06:30:00 PM,197.0,11.40,,,,,
19,01/20/26 07:00:00 PM,195.2,11.21,,,,,
20,01/20/26 07:30:00 PM,194.7,11.10,,,,,
21,01/20/26 08:00:00 PM,194.8,10.95,,,,,
22,01/20/26 08:30:00 PM,193.4,10.77,,,,,
23,01/20/26 09:00:00 PM,193.2,10.61,,,,,
24,01/20/26 09:30:00 PM,192.1,10.39,,,,,
25,01/20/26 10:00:00 PM,191.2,10.16,,,,,
26,01/20/26 10:30:00 PM,190.9,10.00,,,,,
27,01/20/26 11:00:00 PM,190.9,9.89,,,,,
28,01/20/26 11:30:00 PM,191.0,9.84,,,,,
29,01/21/26 12:00:00 AM,191.6,9.80,,,,,
30,01/21/26 12:30:00 AM,192.6,9.81,,,,,
31,01/21/26 01:00:00 AM,193.8,9.84,,,,,
32,01/21/26 01:30:00 AM,194.3,9.82,,,,,
33,01/21/26 02:00:00 AM,195.1,9.73,,,,,
34,01/21/26 02:30:00 AM,195.7,9.65,,,,,
35,01/21/26 03:00:00 AM,196.4,9.55,,,,,
36,01/21/26 03:30:00 AM,196.4,9.47,,,,,
37,01/21/26 04:00:00 AM,195.9,9.41,,,,,
38,01/21/26 04:30:00 AM,195.2,9.36,,,,,
39,01/21/26 05:00:00 AM,195.0,9.32,,,,,
40,01/21/26 05:30:00 AM,194.7,9.30,,,,,
41,01/21/26 06:00:00 AM,194.7,9.26,,,,,
42,01/21/26 06:30:00 AM,194.7,9.25,,,,,
