"Plot Title: 22368008"
"#","Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 22368008, SEN S/N: 22368008)","Temp, °F (LGR S/N: 22368008, SEN S/N: 22368008)","Coupler Detached (LGR S/N: 22368008)","Coupler Attached (LGR S/N: 22368008)","Host Connected (LGR S/N: 22368008)","End Of File (LGR S/N: 22368008)"
1,10/30/25 10:00:00 AM,386.1,61.14,Logged,,,
2,10/30/25 10:30:00 AM,386.1,61.16,,,,
3,10/30/25 11:00:00 AM,388.0,61.47,,,,
4,10/30/25 11:30:00 AM,388.0,61.34,,,,
5,10/30/25 12:00:00 PM,388.5,61.47,,,,
6,10/30/25 12:30:00 PM,391.3,61.95,,,,
7,10/30/25 01:00:00 PM,391.8,62.06,,,,
8,10/30/25 01:30:00 PM,392.7,62.26,,,,
9,10/30/25 02:00:00 PM,395.5,62.85,,,,
10,10/30/25 02:30:00 PM,397.0,63.46,,,,
11,10/30/25 03:00:00 PM,396.8,63.61,,,,
12,10/30/25 03:30:00 PM,396.5,63.57,,,,
13,10/30/25 04:00:00 PM,398.4,64.00,,,,
14,10/30/25 04:30:00 PM,398.5,63.93,,,,
15,10/30/25 05:00:00 PM,397.9,64.00,,,,
16,10/30/25 05:30:00 PM,395.1,63.93,,,,
17,10/30/25 06:00:00 PM,394.1,63.90,,,,
18,10/30/25 06:30:00 PM,394.6,64.04,,,,
19,10/30/25 07:00:00 PM,394.4,63.99,,,,
20,10/30/25 07:30:00 PM,394.8,63.95,,,,
21,10/30/25 08:00:00 PM,395.9,64.13,,,,
22,10/30/25 08:30:00 PM,396.1,64.13,,,,
23,10/30/25 09:00:00 PM,395.9,64.09,,,,
24,10/30/25 09:30:00 PM,396.2,64.15,,,,
25,10/30/25 10:00:00 PM,396.2,64.13,,,,
26,10/30/25 10:30:00 PM,396.3,64.15,,,,
27,10/30/25 11:00:00 PM,395.0,63.88,,,,
28,10/30/25 11:30:00 PM,395.4,63.95,,,,
29,10/31/25 12:00:00 AM,394.7,63.88,,,,
30,10/31/25 12:30:00 AM,393.7,63.68,,,,
31,10/31/25 01:00:00 AM,393.0,63.52,,,,
32,10/31/25 01:30:00 AM,392.3,63.32,,,,
33,10/31/25 02:00:00 AM,389.1,62.89,,,,
34,10/31/25 02:30:00 AM,384.4,62.60,,,,
35,10/31/25 03:00:00 AM,382.5,62.40,,,,
36,10/31/25 03:30:00 AM,382.6,62.28,,,,
37,10/31/25 04:00:00 AM,384.2,62.19,,,,
38,10/31/25 04:30:00 AM,385.1,62.20,,,,
39,10/31/25 05:00:00 AM,385.4,62.19,,,,
40,10/31/25 05:30:00 AM,385.4,62.10,,,,
41,10/31/25 06:00:00 AM,385.5,62.04,,,,
42,10/31/25 06:30:00 AM,385.2,61.95,,,,
43,10/31/25 07:00:00 AM,385.1,61.93,,,,
44,10/31/25 07:30:00 AM,384.6,61.79,,,,
45,10/31/25 08:00:00 AM,383.9,61.63,,,,
46,10/31/25 08:30:00 AM,384.3,61.61,,,,
47,10/31/25 09:00:00 AM,384.4,61.72,,,,
48,10/31/25 09:30:00 AM,384.1,61.66,,,,
49,10/31/25 10:00:00 AM,383.5,61.61,,,,
50,10/31/25 10:30:00 AM,383.7,61.52,,,,
