"Plot Title: 22368008"
"#","Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 22368008, SEN S/N: 22368008)","Temp, °C (LGR S/N: 22368008, SEN S/N: 22368008)","Coupler Detached (LGR S/N: 22368008)","Coupler Attached (LGR S/N: 22368008)","Host Connected (LGR S/N: 22368008)","Stopped (LGR S/N: 22368008)","End Of File (LGR S/N: 22368008)"
1,10/30/25 10:00:00 AM,386.1,16.19,Logged,,,,
2,10/30/25 10:30:00 AM,386.1,16.20,,,,,
3,10/30/25 11:00:00 AM,388.0,16.37,,,,,
4,10/30/25 11:30:00 AM,388.0,16.30,,,,,
5,10/30/25 12:00:00 PM,388.5,16.37,,,,,
6,10/30/25 12:30:00 PM,391.3,16.64,,,,,
7,10/30/25 01:00:00 PM,391.8,16.70,,,,,
8,10/30/25 01:30:00 PM,392.7,16.81,,,,,
9,10/30/25 02:00:00 PM,395.5,17.14,,,,,
10,10/30/25 02:30:00 PM,397.0,17.48,,,,,
11,10/30/25 03:00:00 PM,396.8,17.56,,,,,
12,10/30/25 03:30:00 PM,396.5,17.54,,,,,
13,10/30/25 04:00:00 PM,398.4,17.78,,,,,
14,10/30/25 04:30:00 PM,398.5,17.74,,,,,
15,10/30/25 05:00:00 PM,397.9,17.78,,,,,
16,10/30/25 05:30:00 PM,395.1,17.74,,,,,
17,10/30/25 06:00:00 PM,394.1,17.72,,,,,
18,10/30/25 06:30:00 PM,394.6,17.80,,,,,
19,10/30/25 07:00:00 PM,394.4,17.77,,,,,
20,10/30/25 07:30:00 PM,394.8,17.75,,,,,
21,10/30/25 08:00:00 PM,395.9,17.85,,,,,
22,10/30/25 08:30:00 PM,396.1,17.85,,,,,
23,10/30/25 09:00:00 PM,395.9,17.83,,,,,
24,10/30/25 09:30:00 PM,396.2,17.86,,,,,
25,10/30/25 10:00:00 PM,396.2,17.85,,,,,
26,10/30/25 10:30:00 PM,396.3,17.86,,,,,
27,10/30/25 11:00:00 PM,395.0,17.71,,,,,
28,10/30/25 11:30:00 PM,395.4,17.75,,,,,
29,10/31/25 12:00:00 AM,394.7,17.71,,,,,
30,10/31/25 12:30:00 AM,393.7,17.60,,,,,
31,10/31/25 01:00:00 AM,393.0,17.51,,,,,
32,10/31/25 01:30:00 AM,392.3,17.40,,,,,
33,10/31/25 02:00:00 AM,389.1,17.16,,,,,
34,10/31/25 02:30:00 AM,384.4,17.00,,,,,
35,10/31/25 03:00:00 AM,382.5,16.89,,,,,
36,10/31/25 03:30:00 AM,382.6,16.82,,,,,
37,10/31/25 04:00:00 AM,384.2,16.77,,,,,
38,10/31/25 04:30:00 AM,385.1,16.78,,,,,
39,10/31/25 05:00:00 AM,385.4,16.77,,,,,
40,10/31/25 05:30:00 AM,385.4,16.72,,,,,
41,10/31/25 06:00:00 AM,385.5,16.69,,,,,
42,10/31/25 06:30:00 AM,385.2,16.64,,,,,
43,10/31/25 07:00:00 AM,385.1,16.63,,,,,
44,10/31/25 07:30:00 AM,384.6,16.55,,,,,
45,10/31/25 08:00:00 AM,383.9,16.46,,,,,
46,10/31/25 08:30:00 AM,384.3,16.45,,,,,
47,10/31/25 09:00:00 AM,384.4,16.51,,,,,
48,10/31/25 09:30:00 AM,384.1,16.48,,,,,
49,10/31/25 10:00:00 AM,383.5,16.45,,,,,
50,10/31/25 10:30:00 AM,383.7,16.40,,,,,
51,10/31/25 11:00:00 AM,384.0,16.42,,,,,
52,10/31/25 11:30:00 AM,384.6,16.43,,,,,
53,10/31/25 12:00:00 PM,384.5,16.49,,,,,
54,10/31/25 12:30:00 PM,384.8,16.53,,,,,
55,10/31/25 01:00:00 PM,393.9,17.14,,,,,
56,10/31/25 01:30:00 PM,397.1,17.32,,,,,
57,10/31/25 02:00:00 PM,396.2,17.32,,,,,
58,10/31/25 02:30:00 PM,399.4,17.49,,,,,
59,10/31/25 03:00:00 PM,401.4,17.63,,,,,
60,10/31/25 03:30:00 PM,402.6,17.78,,,,,
61,10/31/25 04:00:00 PM,402.3,17.79,,,,,
62,10/31/25 04:30:00 PM,401.3,17.72,,,,,
63,10/31/25 05:00:00 PM,401.2,17.73,,,,,
64,10/31/25 05:30:00 PM,400.1,17.73,,,,,
65,10/31/25 06:00:00 PM,399.0,17.69,,,,,
66,10/31/25 06:30:00 PM,398.9,17.67,,,,,
67,10/31/25 07:00:00 PM,399.7,17.72,,,,,
68,10/31/25 07:30:00 PM,400.8,17.84,,,,,
69,10/31/25 08:00:00 PM,401.1,17.85,,,,,
70,10/31/25 08:30:00 PM,401.3,17.86,,,,,
71,10/31/25 09:00:00 PM,401.4,17.84,,,,,
72,10/31/25 09:30:00 PM,401.3,17.82,,,,,
73,10/31/25 10:00:00 PM,401.2,17.83,,,,,
74,10/31/25 10:30:00 PM,401.0,17.80,,,,,
75,10/31/25 11:00:00 PM,401.0,17.79,,,,,
76,10/31/25 11:30:00 PM,400.8,17.79,,,,,
77,11/01/25 12:00:00 AM,400.4,17.74,,,,,
78,11/01/25 12:30:00 AM,400.3,17.68,,,,,
79,11/01/25 01:00:00 AM,400.0,17.62,,,,,
80,11/01/25 01:30:00 AM,399.5,17.56,,,,,
81,11/01/25 02:00:00 AM,398.7,17.42,,,,,
82,11/01/25 02:30:00 AM,398.0,17.29,,,,,
83,11/01/25 03:00:00 AM,397.7,17.20,,,,,
84,11/01/25 03:30:00 AM,397.5,17.16,,,,,
85,11/01/25 04:00:00 AM,397.0,17.12,,,,,
86,11/01/25 04:30:00 AM,396.2,17.02,,,,,
87,11/01/25 05:00:00 AM,395.3,16.91,,,,,
88,11/01/25 05:30:00 AM,395.6,16.88,,,,,
89,11/01/25 06:00:00 AM,395.3,16.83,,,,,
90,11/01/25 06:30:00 AM,394.9,16.77,,,,,
91,11/01/25 07:00:00 AM,394.6,16.71,,,,,
92,11/01/25 07:30:00 AM,394.5,16.65,,,,,
93,11/01/25 08:00:00 AM,394.7,16.63,,,,,
94,11/01/25 08:30:00 AM,394.6,16.62,,,,,
95,11/01/25 09:00:00 AM,394.8,16.60,,,,,
96,11/01/25 09:30:00 AM,394.7,16.55,,,,,
97,11/01/25 10:00:00 AM,394.7,16.55,,,,,
98,11/01/25 10:30:00 AM,394.2,16.55,,,,,
99,11/01/25 11:00:00 AM,394.8,16.60,,,,,
100,11/01/25 11:30:00 AM,394.9,16.64,,,,,
