"Plot Title: 22368009"
"#","Date Time, GMT-08:00","Low Range, μS/cm (LGR S/N: 22368009, SEN S/N: 22368009)","Temp, °C (LGR S/N: 22368009, SEN S/N: 22368009)","Coupler Detached (LGR S/N: 22368009)","Coupler Attached (LGR S/N: 22368009)","Host Connected (LGR S/N: 22368009)","Stopped (LGR S/N: 22368009)","End Of File (LGR S/N: 22368009)"
1,02/17/26 03:00:00 PM,197.1,10.00,Logged,,,,
2,02/17/26 03:30:00 PM,183.1,8.73,,,,,
3,02/17/26 04:00:00 PM,185.5,8.84,,,,,
4,02/17/26 04:30:00 PM,180.9,8.83,,,,,
5,02/17/26 05:00:00 PM,181.3,8.79,,,,,
6,02/17/26 05:30:00 PM,182.8,8.71,,,,,
7,02/17/26 06:00:00 PM,190.3,8.63,,,,,
8,02/17/26 06:30:00 PM,187.8,8.38,,,,,
9,02/17/26 07:00:00 PM,187.9,8.28,,,,,
10,02/17/26 07:30:00 PM,186.4,7.92,,,,,
11,02/17/26 08:00:00 PM,191.7,7.86,,,,,
12,02/17/26 08:30:00 PM,190.9,7.65,,,,,
13,02/17/26 09:00:00 PM,191.4,7.42,,,,,
14,02/17/26 09:30:00 PM,193.2,7.39,,,,,
15,02/17/26 10:00:00 PM,192.0,7.25,,,,,
16,02/17/26 10:30:00 PM,191.0,7.10,,,,,
17,02/17/26 11:00:00 PM,190.5,6.94,,,,,
18,02/17/26 11:30:00 PM,188.7,6.78,,,,,
19,02/18/26 12:00:00 AM,186.8,6.54,,,,,
20,02/18/26 12:30:00 AM,182.6,6.28,,,,,
21,02/18/26 01:00:00 AM,179.6,5.91,,,,,
22,02/18/26 01:30:00 AM,179.0,5.74,,,,,
23,02/18/26 02:00:00 AM,178.9,5.43,,,,,
24,02/18/26 02:30:00 AM,159.4,4.59,,,,,
25,02/18/26 03:00:00 AM,127.6,4.74,,,,,
26,02/18/26 03:30:00 AM,118.1,4.79,,,,,
27,02/18/26 04:00:00 AM,112.5,4.52,,,,,
28,02/18/26 04:30:00 AM,111.5,4.54,,,,,
29,02/18/26 05:00:00 AM,108.4,3.95,,,,,
30,02/18/26 05:30:00 AM,106.5,4.24,,,,,
31,02/18/26 06:00:00 AM,106.7,4.52,,,,,
32,02/18/26 06:30:00 AM,120.2,4.66,,,,,
33,02/18/26 07:00:00 AM,135.3,4.59,,,,,
34,02/18/26 07:30:00 AM,105.9,3.16,,,,,
35,02/18/26 08:00:00 AM,161.2,3.92,,,,,
36,02/18/26 08:30:00 AM,151.3,4.37,,,,,
37,02/18/26 09:00:00 AM,167.3,4.79,,,,,
38,02/18/26 09:30:00 AM,176.7,5.05,,,,,
39,02/18/26 10:00:00 AM,182.1,5.52,,,,,
40,02/18/26 10:30:00 AM,180.9,6.01,,,,,
41,02/18/26 11:00:00 AM,199.7,6.53,,,,,
42,02/18/26 11:30:00 AM,178.3,7.10,,,,,
43,02/18/26 12:00:00 PM,176.1,7.58,,,,,
44,02/18/26 12:30:00 PM,199.7,8.37,,,,,
45,02/18/26 01:00:00 PM,207.7,9.13,,,,,
46,02/18/26 01:30:00 PM,210.4,9.32,,,,,
47,02/18/26 02:00:00 PM,212.9,9.71,,,,,
48,02/18/26 02:30:00 PM,219.5,9.90,,,,,
49,02/18/26 03:00:00 PM,226.5,10.07,,,,,
50,02/18/26 03:30:00 PM,226.7,10.20,,,,,
51,02/18/26 04:00:00 PM,225.1,10.22,,,,,
52,02/18/26 04:30:00 PM,222.9,10.22,,,,,
53,02/18/26 05:00:00 PM,242.4,10.15,,,,,
54,02/18/26 05:30:00 PM,242.2,9.95,,,,,
55,02/18/26 06:00:00 PM,241.3,9.85,,,,,
56,02/18/26 06:30:00 PM,260.4,9.65,,,,,
57,02/18/26 07:00:00 PM,267.6,9.48,,,,,
58,02/18/26 07:30:00 PM,278.8,9.32,,,,,
59,02/18/26 08:00:00 PM,275.9,9.17,,,,,
60,02/18/26 08:30:00 PM,281.5,9.00,,,,,
61,02/18/26 09:00:00 PM,283.7,8.84,,,,,
62,02/18/26 09:30:00 PM,279.3,8.69,,,,,
63,02/18/26 10:00:00 PM,274.4,8.58,,,,,
64,02/18/26 10:30:00 PM,270.1,8.50,,,,,
65,02/18/26 11:00:00 PM,260.5,8.42,,,,,
66,02/18/26 11:30:00 PM,230.9,8.25,,,,,
67,02/19/26 12:00:00 AM,229.5,8.22,,,,,
68,02/19/26 12:30:00 AM,246.4,8.16,,,,,
69,02/19/26 01:00:00 AM,208.5,8.04,,,,,
70,02/19/26 01:30:00 AM,211.8,7.91,,,,,
71,02/19/26 02:00:00 AM,218.0,7.81,,,,,
72,02/19/26 02:30:00 AM,230.0,7.70,,,,,
73,02/19/26 03:00:00 AM,215.5,7.60,,,,,
74,02/19/26 03:30:00 AM,211.7,7.52,,,,,
75,02/19/26 04:00:00 AM,233.4,7.44,,,,,
76,02/19/26 04:30:00 AM,291.8,7.34,,,,,
77,02/19/26 05:00:00 AM,331.3,7.21,,,,,
78,02/19/26 05:30:00 AM,340.0,7.10,,,,,
79,02/19/26 06:00:00 AM,270.4,6.94,,,,,
80,02/19/26 06:30:00 AM,344.4,6.86,,,,,
81,02/19/26 07:00:00 AM,359.9,6.78,,,,,
82,02/19/26 07:30:00 AM,352.4,6.71,,,,,
83,02/19/26 08:00:00 AM,341.7,6.68,,,,,
84,02/19/26 08:30:00 AM,333.6,6.63,,,,,
85,02/19/26 09:00:00 AM,325.9,6.65,,,,,
86,02/19/26 09:30:00 AM,326.2,6.86,,,,,
87,02/19/26 10:00:00 AM,327.5,7.16,,,,,
88,02/19/26 10:30:00 AM,335.5,7.58,,,,,
89,02/19/26 11:00:00 AM,342.4,7.91,,,,,
90,02/19/26 11:30:00 AM,342.0,8.58,,,,,
91,02/19/26 12:00:00 PM,334.9,8.95,,,,,
92,02/19/26 12:30:00 PM,305.9,9.59,,,,,
93,02/19/26 01:00:00 PM,327.9,10.01,,,,,
94,02/19/26 01:30:00 PM,340.5,10.04,,,,,
95,02/19/26 02:00:00 PM,336.6,10.10,,,,,
96,02/19/26 02:30:00 PM,348.0,10.53,,,,,
97,02/19/26 03:00:00 PM,357.2,10.95,,,,,
98,02/19/26 03:30:00 PM,377.2,12.31,,,,,
99,02/19/26 04:00:00 PM,377.4,12.42,,,,,
100,02/19/26 04:30:00 PM,372.8,12.43,,,,,
101,02/19/26 05:00:00 PM,366.9,12.48,,,,,
102,02/19/26 05:30:00 PM,354.9,12.26,,,,,
103,02/19/26 06:00:00 PM,349.6,12.18,,,,,
104,02/19/26 06:30:00 PM,345.4,11.93,,,,,
105,02/19/26 07:00:00 PM,336.6,11.80,,,,,
106,02/19/26 07:30:00 PM,338.6,11.68,,,,,
107,02/19/26 08:00:00 PM,338.0,11.58,,,,,
108,02/19/26 08:30:00 PM,335.8,11.42,,,,,
109,02/19/26 09:00:00 PM,337.0,11.28,,,,,
110,02/19/26 09:30:00 PM,336.9,11.13,,,,,
111,02/19/26 10:00:00 PM,333.2,10.95,,,,,
112,02/19/26 10:30:00 PM,331.9,10.81,,,,,
113,02/19/26 11:00:00 PM,330.4,10.72,,,,,
114,02/19/26 11:30:00 PM,330.3,10.58,,,,,
115,02/20/26 12:00:00 AM,328.4,10.44,,,,,
116,02/20/26 12:30:00 AM,327.6,10.34,,,,,
117,02/20/26 01:00:00 AM,326.3,10.21,,,,,
118,02/20/26 01:30:00 AM,324.5,10.02,,,,,
119,02/20/26 02:00:00 AM,323.1,9.94,,,,,
120,02/20/26 02:30:00 AM,323.5,9.80,,,,,
121,02/20/26 03:00:00 AM,325.3,9.67,,,,,
122,02/20/26 03:30:00 AM,325.9,9.59,,,,,
123,02/20/26 04:00:00 AM,324.0,9.47,,,,,
124,02/20/26 04:30:00 AM,320.4,9.33,,,,,
125,02/20/26 05:00:00 AM,320.5,9.25,,,,,
126,02/20/26 05:30:00 AM,327.5,9.17,,,,,
127,02/20/26 06:00:00 AM,323.9,9.02,,,,,
128,02/20/26 06:30:00 AM,322.9,8.90,,,,,
129,02/20/26 07:00:00 AM,321.6,8.79,,,,,
130,02/20/26 07:30:00 AM,320.4,8.62,,,,,
131,02/20/26 08:00:00 AM,317.9,8.47,,,,,
132,02/20/26 08:30:00 AM,318.6,8.43,,,,,
133,02/20/26 09:00:00 AM,316.1,8.39,,,,,
134,02/20/26 09:30:00 AM,320.7,8.33,,,,,
135,02/20/26 10:00:00 AM,325.0,8.33,,,,,
136,02/20/26 10:30:00 AM,330.5,8.38,,,,,
137,02/20/26 11:00:00 AM,332.7,8.50,,,,,
