"Plot Title: 22368011"
"#","Date Time, GMT-08:00","Low Range, μS/cm (LGR S/N: 22368011, SEN S/N: 22368011)","Temp, °C (LGR S/N: 22368011, SEN S/N: 22368011)","Coupler Detached (LGR S/N: 22368011)","Coupler Attached (LGR S/N: 22368011)","Host Connected (LGR S/N: 22368011)","Stopped (LGR S/N: 22368011)","End Of File (LGR S/N: 22368011)"
1,12/09/25 09:00:00 AM,1.9,13.08,Logged,,,,
2,12/09/25 09:30:00 AM,363.2,8.00,,,,,
3,12/09/25 10:00:00 AM,363.1,7.99,,,,,
4,12/09/25 10:30:00 AM,364.0,8.06,,,,,
5,12/09/25 11:00:00 AM,364.9,8.13,,,,,
6,12/09/25 11:30:00 AM,365.1,8.19,,,,,
7,12/09/25 12:00:00 PM,366.0,8.30,,,,,
8,12/09/25 12:30:00 PM,367.1,8.40,,,,,
9,12/09/25 01:00:00 PM,368.7,8.51,,,,,
10,12/09/25 01:30:00 PM,369.6,8.60,,,,,
11,12/09/25 02:00:00 PM,369.7,8.61,,,,,
12,12/09/25 02:30:00 PM,369.4,8.66,,,,,
13,12/09/25 03:00:00 PM,369.5,8.68,,,,,
14,12/09/25 03:30:00 PM,369.6,8.73,,,,,
15,12/09/25 04:00:00 PM,369.5,8.71,,,,,
16,12/09/25 04:30:00 PM,368.6,8.63,,,,,
17,12/09/25 05:00:00 PM,368.2,8.63,,,,,
18,12/09/25 05:30:00 PM,368.1,8.62,,,,,
19,12/09/25 06:00:00 PM,367.3,8.56,,,,,
20,12/09/25 06:30:00 PM,367.3,8.57,,,,,
21,12/09/25 07:00:00 PM,366.8,8.53,,,,,
22,12/09/25 07:30:00 PM,366.5,8.50,,,,,
23,12/09/25 08:00:00 PM,366.4,8.49,,,,,
24,12/09/25 08:30:00 PM,366.0,8.45,,,,,
25,12/09/25 09:00:00 PM,365.9,8.46,,,,,
26,12/09/25 09:30:00 PM,365.4,8.41,,,,,
27,12/09/25 10:00:00 PM,365.1,8.39,,,,,
28,12/09/25 10:30:00 PM,364.5,8.33,,,,,
29,12/09/25 11:00:00 PM,364.3,8.32,,,,,
30,12/09/25 11:30:00 PM,363.8,8.28,,,,,
31,12/10/25 12:00:00 AM,363.9,8.29,,,,,
32,12/10/25 12:30:00 AM,364.0,8.29,,,,,
33,12/10/25 01:00:00 AM,363.7,8.27,,,,,
34,12/10/25 01:30:00 AM,363.8,8.27,,,,,
35,12/10/25 02:00:00 AM,363.5,8.24,,,,,
36,12/10/25 02:30:00 AM,363.1,8.21,,,,,
37,12/10/25 03:00:00 AM,362.5,8.16,,,,,
38,12/10/25 03:30:00 AM,362.0,8.10,,,,,
39,12/10/25 04:00:00 AM,362.4,8.14,,,,,
40,12/10/25 04:30:00 AM,362.1,8.11,,,,,
41,12/10/25 05:00:00 AM,361.6,8.06,,,,,
42,12/10/25 05:30:00 AM,361.8,8.06,,,,,
43,12/10/25 06:00:00 AM,361.8,8.07,,,,,
44,12/10/25 06:30:00 AM,361.6,8.02,,,,,
45,12/10/25 07:00:00 AM,361.4,8.04,,,,,
46,12/10/25 07:30:00 AM,361.2,8.01,,,,,
47,12/10/25 08:00:00 AM,361.2,8.00,,,,,
48,12/10/25 08:30:00 AM,361.6,8.04,,,,,
49,12/10/25 09:00:00 AM,361.8,8.06,,,,,
50,12/10/25 09:30:00 AM,362.1,8.10,,,,,
51,12/10/25 10:00:00 AM,362.7,8.13,,,,,
52,12/10/25 10:30:00 AM,362.8,8.16,,,,,
53,12/10/25 11:00:00 AM,363.6,8.25,,,,,
54,12/10/25 11:30:00 AM,364.4,8.34,,,,,
55,12/10/25 12:00:00 PM,365.1,8.39,,,,,
56,12/10/25 12:30:00 PM,365.9,8.47,,,,,
57,12/10/25 01:00:00 PM,366.5,8.56,,,,,
58,12/10/25 01:30:00 PM,367.0,8.62,,,,,
59,12/10/25 02:00:00 PM,367.6,8.68,,,,,
60,12/10/25 02:30:00 PM,368.0,8.72,,,,,
61,12/10/25 03:00:00 PM,368.1,8.74,,,,,
62,12/10/25 03:30:00 PM,368.0,8.74,,,,,
63,12/10/25 04:00:00 PM,368.1,8.77,,,,,
64,12/10/25 04:30:00 PM,367.8,8.73,,,,,
65,12/10/25 05:00:00 PM,367.5,8.72,,,,,
66,12/10/25 05:30:00 PM,367.1,8.69,,,,,
67,12/10/25 06:00:00 PM,367.2,8.68,,,,,
68,12/10/25 06:30:00 PM,367.1,8.64,,,,,
69,12/10/25 07:00:00 PM,366.6,8.64,,,,,
70,12/10/25 07:30:00 PM,366.3,8.62,,,,,
71,12/10/25 08:00:00 PM,366.0,8.58,,,,,
72,12/10/25 08:30:00 PM,365.9,8.57,,,,,
73,12/10/25 09:00:00 PM,365.8,8.56,,,,,
