7450-213022
OS REV: 1.05 Sensor Cal: 1705524222
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1773622920,+3.52,+26.287,+11.049,+0.901
1773623220,+3.52,+26.219,+11.046,+0.901
1773623520,+3.52,+26.143,+11.035,+0.901
1773623820,+3.52,+26.050,+10.983,+0.901
1773624120,+3.52,+25.991,+11.005,+0.902
1773624420,+3.52,+25.974,+10.999,+0.902
1773624720,+3.52,+25.898,+10.984,+0.902
1773625020,+3.52,+25.713,+10.862,+0.902
1773625320,+3.52,+25.477,+10.856,+0.903
1773625620,+3.52,+25.300,+10.876,+0.903
1773625920,+3.52,+25.089,+10.896,+0.903
1773626220,+3.52,+24.762,+10.939,+0.903
1773626520,+3.52,+24.510,+11.023,+0.906
1773626820,+3.52,+24.291,+10.485,+0.905
1773627120,+3.52,+24.065,+10.517,+0.904
1773627420,+3.52,+23.847,+10.574,+0.906
1773627720,+3.52,+23.637,+10.584,+0.906
1773628020,+3.53,+23.369,+10.610,+0.906
1773628320,+3.52,+23.202,+10.620,+0.906
1773628620,+3.52,+23.076,+10.639,+0.907
1773628920,+3.52,+22.892,+10.630,+0.906
1773629220,+3.53,+22.741,+10.612,+0.906
1773629520,+3.53,+22.624,+10.598,+0.906
1773629820,+3.53,+22.491,+10.596,+0.907
1773630120,+3.53,+22.365,+10.568,+0.907
1773630420,+3.52,+22.240,+10.557,+0.908
1773630720,+3.52,+22.097,+10.542,+0.907
1773631020,+3.52,+21.930,+10.541,+0.907
1773631320,+3.52,+21.830,+10.524,+0.908
1773631620,+3.53,+21.679,+10.495,+0.907
1773631920,+3.53,+21.546,+10.486,+0.908
1773632220,+3.53,+21.429,+10.445,+0.907
1773632520,+3.53,+21.295,+10.431,+0.908
1773632820,+3.52,+21.169,+10.417,+0.909
1773633120,+3.52,+21.086,+10.372,+0.909
1773633420,+3.52,+21.002,+10.313,+0.908
1773633720,+3.52,+20.910,+10.295,+0.909
1773634020,+3.52,+20.826,+10.248,+0.908
1773634320,+3.52,+20.768,+10.200,+0.908
1773634620,+3.52,+20.676,+10.166,+0.908
