7450-234573
OS REV: 1.05 Sensor Cal: 1705525947
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1771802700,+3.46,+14.445, +5.999,+0.943
1771803000,+3.46,+14.488, +6.089,+0.943
1771803300,+3.46,+14.506, +6.209,+0.942
1771803600,+3.46,+14.523, +6.302,+0.943
1771803900,+3.46,+14.523, +6.392,+0.943
1771804200,+3.46,+14.549, +6.468,+0.943
1771804500,+3.46,+14.558, +6.537,+0.943
1771804800,+3.46,+14.575, +6.613,+0.943
1771805100,+3.46,+14.566, +6.695,+0.943
1771805400,+3.46,+14.575, +6.765,+0.943
1771805700,+3.46,+14.601, +6.838,+0.944
1771806000,+3.46,+14.601, +6.255,+0.943
1771806300,+3.46,+14.627, +6.355,+0.944
1771806600,+3.46,+14.627, +6.461,+0.944
1771806900,+3.46,+14.618, +6.560,+0.944
1771807200,+3.46,+14.601, +6.650,+0.944
1771807500,+3.46,+14.610, +6.737,+0.944
1771807800,+3.46,+14.610, +6.827,+0.944
1771808100,+3.46,+14.610, +6.915,+0.944
1771808400,+3.46,+14.610, +6.986,+0.944
1771808700,+3.46,+14.610, +7.027,+0.944
1771809000,+3.46,+14.627, +7.069,+0.944
1771809300,+3.46,+14.618, +7.154,+0.945
1771809600,+3.46,+14.610, +7.207,+0.944
1771809900,+3.46,+14.584, +7.271,+0.944
1771810200,+3.46,+14.584, +7.314,+0.944
1771810500,+3.46,+14.566, +7.371,+0.944
1771810800,+3.46,+14.540, +7.431,+0.944
1771811100,+3.46,+14.549, +7.495,+0.945
1771811400,+3.47,+14.558, +7.557,+0.945
1771811700,+3.47,+14.523, +7.609,+0.945
1771812000,+3.47,+14.514, +7.670,+0.944
1771812300,+3.47,+14.497, +5.373,+0.945
1771812600,+3.47,+14.480, +5.510,+0.945
1771812900,+3.47,+14.454, +5.643,+0.945
1771813200,+3.47,+14.445, +5.759,+0.944
1771813500,+3.47,+14.428, +5.865,+0.945
1771813800,+3.47,+14.437, +5.949,+0.945
1771814100,+3.47,+14.402, +6.048,+0.944
1771814400,+3.47,+14.393, +6.124,+0.944
1771814700,+3.47,+14.419, +6.187,+0.944
1771815000,+3.47,+14.393, +6.266,+0.945
1771815300,+3.47,+14.376, +6.329,+0.945
1771815600,+3.47,+14.359, +6.391,+0.944
1771815900,+3.47,+14.298, +6.464,+0.945
1771816200,+3.47,+14.289, +6.510,+0.945
1771816500,+3.47,+14.298, +6.549,+0.945
1771816800,+3.47,+14.263, +8.079,+0.945
1771817100,+3.47,+14.246, +8.117,+0.945
1771817400,+3.47,+14.229, +8.131,+0.945
1771817700,+3.47,+14.220, +8.154,+0.945
1771818000,+3.47,+14.203, +8.174,+0.945
1771818300,+3.47,+14.203, +8.185,+0.945
1771818600,+3.47,+14.168, +8.218,+0.945
1771818900,+3.47,+14.168, +8.244,+0.945
1771819200,+3.47,+14.142, +8.271,+0.945
1771819500,+3.47,+14.116, +8.298,+0.945
1771819800,+3.47,+14.124, +8.312,+0.945
1771820100,+3.47,+14.116, +8.325,+0.945
1771820400,+3.47,+14.090, +8.341,+0.944
1771820700,+3.47,+14.090, +8.372,+0.945
1771821000,+3.47,+14.072, +8.396,+0.945
1771821300,+3.47,+14.072, +8.421,+0.945
1771821600,+3.47,+14.046, +8.455,+0.945
1771821900,+3.47,+14.020, +8.485,+0.945
1771822200,+3.47,+14.020, +8.494,+0.945
1771822500,+3.47,+13.994, +8.523,+0.945
1771822800,+3.47,+13.977, +8.533,+0.945
1771823100,+3.47,+13.968, +8.559,+0.945
1771823400,+3.47,+13.968, +8.570,+0.945
1771823700,+3.47,+13.977, +8.583,+0.945
1771824000,+3.47,+13.968, +8.592,+0.945
1771824300,+3.47,+13.959, +8.606,+0.945
1771824600,+3.47,+13.959, +8.620,+0.945
1771824900,+3.47,+13.925, +8.638,+0.944
1771825200,+3.47,+13.933, +8.665,+0.945
1771825500,+3.47,+13.898, +8.678,+0.944
1771825800,+3.47,+13.890, +8.700,+0.945
1771826100,+3.47,+13.881, +8.729,+0.945
1771826400,+3.47,+13.855, +8.754,+0.945
1771826700,+3.47,+13.846, +8.767,+0.945
1771827000,+3.47,+13.820, +8.789,+0.945
1771827300,+3.47,+13.811, +8.807,+0.945
1771827600,+3.47,+13.803, +8.814,+0.945
1771827900,+3.47,+13.759, +8.844,+0.945
1771828200,+3.47,+13.733, +8.867,+0.945
1771828500,+3.47,+13.742, +8.874,+0.945
1771828800,+3.47,+13.707, +8.886,+0.945
1771829100,+3.47,+13.707, +8.894,+0.945
1771829400,+3.47,+13.698, +8.915,+0.945
1771829700,+3.47,+13.724, +8.914,+0.945
1771830000,+3.47,+13.698, +8.927,+0.945
1771830300,+3.47,+13.698, +8.938,+0.945
1771830600,+3.47,+13.663, +8.965,+0.945
1771830900,+3.47,+13.707, +8.966,+0.945
1771831200,+3.47,+13.663, +8.970,+0.944
1771831500,+3.47,+13.672, +8.993,+0.945
1771831800,+3.47,+13.672, +8.999,+0.945
1771832100,+3.47,+13.672, +9.010,+0.945
1771832400,+3.47,+13.654, +9.030,+0.945
1771832700,+3.47,+13.681, +9.027,+0.945
1771833000,+3.47,+13.681, +9.035,+0.945
1771833300,+3.47,+13.646, +9.051,+0.945
1771833600,+3.47,+13.654, +9.065,+0.945
1771833900,+3.47,+13.646, +9.071,+0.945
1771834200,+3.48,+13.672, +9.071,+0.945
1771834500,+3.47,+13.654, +9.076,+0.945
1771834800,+3.47,+13.654, +9.092,+0.945
1771835100,+3.47,+13.654, +9.092,+0.944
1771835400,+3.47,+13.672, +9.091,+0.945
1771835700,+3.47,+13.646, +9.100,+0.945
1771836000,+3.47,+13.637, +9.108,+0.945
1771836300,+3.48,+13.646, +9.116,+0.945
1771836600,+3.47,+13.637, +9.108,+0.944
1771836900,+3.47,+13.628, +9.126,+0.945
1771837200,+3.47,+13.620, +9.126,+0.945
1771837500,+3.47,+13.628, +9.116,+0.945
1771837800,+3.47,+13.620, +9.122,+0.945
1771838100,+3.47,+13.602, +9.129,+0.945
1771838400,+3.47,+13.611, +9.123,+0.945
1771838700,+3.47,+13.620, +9.127,+0.945
1771839000,+3.47,+13.611, +9.128,+0.945
1771839300,+3.47,+13.593, +9.141,+0.945
1771839600,+3.47,+13.593, +9.148,+0.945
1771839900,+3.47,+13.585, +9.153,+0.945
1771840200,+3.47,+13.567, +9.175,+0.945
1771840500,+3.47,+13.576, +9.171,+0.945
1771840800,+3.47,+13.558, +9.177,+0.945
1771841100,+3.47,+13.550, +9.191,+0.945
1771841400,+3.47,+13.515, +9.203,+0.945
1771841700,+3.47,+13.506, +9.215,+0.945
1771842000,+3.47,+13.541, +9.207,+0.945
1771842300,+3.47,+13.506, +9.221,+0.945
1771842600,+3.47,+13.480, +9.246,+0.945
1771842900,+3.47,+13.489, +9.249,+0.945
1771843200,+3.47,+13.480, +9.242,+0.945
