7450-269688
OS REV: 1.05 Sensor Cal: 1705527875
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1765149780,+3.47, +8.655, +4.014,+0.963
1765150080,+3.47, +8.655, +4.024,+0.964
1765150380,+3.47, +8.665, +3.973,+0.964
1765150680,+3.47, +8.665, +3.980,+0.964
1765150980,+3.47, +8.674, +4.139,+0.963
1765151280,+3.47, +8.646, +4.194,+0.964
1765151580,+3.47, +8.655, +4.212,+0.964
1765151880,+3.47, +8.674, +4.228,+0.963
1765152180,+3.47, +8.655, +4.229,+0.963
1765152480,+3.47, +8.646, +4.221,+0.963
1765152780,+3.47, +8.655, +4.273,+0.963
1765153080,+3.48, +8.646, +4.349,+0.964
1765153380,+3.48, +8.618, +4.375,+0.963
1765153680,+3.48, +8.618, +4.453,+0.963
1765153980,+3.48, +8.618, +4.476,+0.964
1765154280,+3.48, +8.618, +4.440,+0.963
1765154580,+3.48, +8.599, +4.429,+0.963
1765154880,+3.48, +8.599, +4.440,+0.963
1765155180,+3.48, +8.609, +4.440,+0.964
1765155480,+3.48, +8.609, +4.419,+0.964
1765155780,+3.48, +8.609, +4.414,+0.963
1765156080,+3.48, +8.618, +4.377,+0.963
1765156380,+3.48, +8.637, +4.304,+0.963
1765156680,+3.48, +8.637, +4.221,+0.963
1765156980,+3.48, +8.646, +4.005,+0.964
1765157280,+3.48, +8.646, +4.104,+0.963
1765157580,+3.48, +8.618, +4.156,+0.963
1765157880,+3.48, +8.618, +4.186,+0.964
1765158180,+3.48, +8.646, +4.164,+0.964
1765158480,+3.48, +8.646, +4.118,+0.964
1765158780,+3.48, +8.646, +4.136,+0.964
1765159080,+3.48, +8.655, +4.137,+0.964
1765159380,+3.48, +8.637, +4.109,+0.964
1765159680,+3.48, +8.618, +4.098,+0.963
1765159980,+3.48, +8.618, +4.053,+0.963
1765160280,+3.48, +8.599, +4.102,+0.964
1765160580,+3.48, +8.590, +4.121,+0.964
1765160880,+3.48, +8.599, +4.158,+0.964
1765161180,+3.48, +8.580, +4.161,+0.963
1765161480,+3.48, +8.590, +4.172,+0.964
1765161780,+3.48, +8.571, +4.219,+0.964
1765162080,+3.48, +8.543, +4.263,+0.964
1765162380,+3.48, +8.552, +4.309,+0.964
1765162680,+3.48, +8.552, +4.322,+0.963
1765162980,+3.48, +8.524, +4.327,+0.964
1765163280,+3.48, +8.524, +4.312,+0.964
1765163580,+3.48, +8.506, +4.298,+0.963
1765163880,+3.48, +8.506, +4.319,+0.963
1765164180,+3.48, +8.496, +4.314,+0.964
1765164480,+3.48, +8.496, +4.317,+0.964
1765164780,+3.48, +8.496, +4.278,+0.964
1765165080,+3.48, +8.477, +4.283,+0.963
1765165380,+3.48, +8.487, +4.290,+0.964
1765165680,+3.48, +8.477, +4.284,+0.964
1765165980,+3.48, +8.459, +4.263,+0.963
1765166280,+3.48, +8.459, +4.230,+0.964
1765166580,+3.48, +8.496, +4.212,+0.964
1765166880,+3.48, +8.487, +4.190,+0.963
1765167180,+3.48, +8.496, +4.169,+0.964
1765167480,+3.48, +8.496, +4.134,+0.964
1765167780,+3.48, +8.506, +4.183,+0.964
1765168080,+3.48, +8.477, +4.186,+0.964
1765168380,+3.48, +8.459, +4.181,+0.964
1765168680,+3.48, +8.468, +4.153,+0.963
1765168980,+3.48, +8.477, +4.141,+0.963
1765169280,+3.48, +8.459, +4.133,+0.963
1765169580,+3.48, +8.468, +4.129,+0.964
1765169880,+3.48, +8.440, +4.136,+0.964
1765170180,+3.48, +8.449, +4.083,+0.963
1765170480,+3.48, +8.459, +4.090,+0.964
1765170780,+3.48, +8.449, +4.093,+0.964
1765171080,+3.48, +8.459, +4.091,+0.964
1765171380,+3.48, +8.440, +4.050,+0.963
1765171680,+3.48, +8.421, +4.048,+0.964
1765171980,+3.48, +8.431, +4.035,+0.964
1765172280,+3.48, +8.431, +4.030,+0.963
1765172580,+3.48, +8.421, +4.047,+0.964
1765172880,+3.48, +8.412, +4.064,+0.964
1765173180,+3.48, +8.421, +4.035,+0.963
1765173480,+3.48, +8.421, +4.051,+0.963
1765173780,+3.48, +8.384, +4.059,+0.964
1765174080,+3.48, +8.384, +4.074,+0.964
1765174380,+3.48, +8.365, +4.055,+0.964
1765174680,+3.48, +8.374, +4.074,+0.964
1765174980,+3.48, +8.355, +4.073,+0.963
1765175280,+3.48, +8.346, +4.048,+0.964
1765175580,+3.48, +8.346, +4.080,+0.963
1765175880,+3.48, +8.346, +4.086,+0.964
1765176180,+3.48, +8.337, +4.055,+0.964
1765176480,+3.48, +8.337, +4.076,+0.964
1765176780,+3.48, +8.318, +4.104,+0.964
1765177080,+3.48, +8.318, +4.110,+0.964
1765177380,+3.48, +8.327, +4.090,+0.964
1765177680,+3.48, +8.318, +4.049,+0.964
1765177980,+3.48, +8.299, +4.074,+0.964
1765178280,+3.48, +8.299, +4.061,+0.964
1765178580,+3.48, +8.299, +4.042,+0.964
1765178880,+3.48, +8.299, +4.013,+0.964
1765179180,+3.48, +8.280, +3.991,+0.964
1765179480,+3.48, +8.271, +3.989,+0.964
1765179780,+3.48, +8.261, +3.981,+0.964
1765180080,+3.48, +8.280, +3.965,+0.964
1765180380,+3.48, +8.271, +3.984,+0.963
1765180680,+3.48, +8.252, +3.999,+0.964
1765180980,+3.48, +8.261, +4.009,+0.964
1765181280,+3.48, +8.233, +3.979,+0.964
1765181580,+3.48, +8.243, +3.988,+0.964
1765181880,+3.48, +8.243, +3.955,+0.964
1765182180,+3.48, +8.243, +3.903,+0.964
1765182480,+3.48, +8.233, +3.891,+0.963
1765182780,+3.48, +8.233, +3.866,+0.964
1765183080,+3.48, +8.243, +3.808,+0.964
1765183380,+3.48, +8.233, +3.718,+0.964
