7450-307695
OS REV: 1.05 Sensor Cal: 1705525297
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1766889360,+3.48,+10.581, +2.523,+0.908
1766889660,+3.48,+10.581, +2.517,+0.908
1766889960,+3.48,+10.553, +2.516,+0.908
1766890260,+3.48,+10.544, +2.507,+0.908
1766890560,+3.48,+10.517, +2.501,+0.908
1766890860,+3.48,+10.508, +2.496,+0.908
1766891160,+3.48,+10.490, +2.494,+0.907
1766891460,+3.48,+10.454, +2.499,+0.908
1766891760,+3.48,+10.481, +2.500,+0.908
1766892060,+3.48,+10.426, +2.504,+0.908
1766892360,+3.48,+10.435, +2.498,+0.907
1766892660,+3.48,+10.408, +2.502,+0.908
1766892960,+3.48,+10.363, +2.504,+0.908
1766893260,+3.48,+10.354, +2.499,+0.908
1766893560,+3.48,+10.317, +2.504,+0.908
1766893860,+3.48,+10.281, +2.511,+0.908
1766894160,+3.48,+10.253, +2.512,+0.908
1766894460,+3.48,+10.226, +2.521,+0.907
1766894760,+3.48,+10.199, +2.534,+0.908
1766895060,+3.48,+10.189, +2.539,+0.908
1766895360,+3.48,+10.144, +2.540,+0.908
1766895660,+3.48,+10.153, +2.529,+0.908
1766895960,+3.48,+10.107, +2.436,+0.908
1766896260,+3.48,+10.098, +2.273,+0.907
1766896560,+3.48,+10.071, +2.110,+0.906
1766896860,+3.48,+10.052, +1.957,+0.906
1766897160,+3.48,+10.062, +1.826,+0.905
1766897460,+3.48,+10.016, +1.720,+0.905
1766897760,+3.48, +9.979, +1.631,+0.904
1766898060,+3.48, +9.979, +1.550,+0.904
1766898360,+3.48, +9.979, +1.476,+0.903
1766898660,+3.48, +9.943, +1.411,+0.903
1766898960,+3.48, +9.906, +1.363,+0.902
1766899260,+3.48, +9.833, +1.328,+0.902
1766899560,+3.48, +9.823, +1.290,+0.902
1766899860,+3.48, +9.759, +1.268,+0.902
1766900160,+3.48, +9.732, +1.241,+0.901
1766900460,+3.48, +9.713, +1.216,+0.901
1766900760,+3.48, +9.704, +1.190,+0.901
1766901060,+3.48, +9.722, +1.162,+0.901
1766901360,+3.48, +9.695, +1.137,+0.901
1766901660,+3.48, +9.686, +1.115,+0.901
1766901960,+3.48, +9.676, +1.089,+0.901
1766902260,+3.48, +9.667, +1.067,+0.901
1766902560,+3.48, +9.658, +1.045,+0.901
1766902860,+3.48, +9.630, +1.024,+0.900
1766903160,+3.48, +9.612, +1.006,+0.900
1766903460,+3.48, +9.594, +0.990,+0.900
1766903760,+3.48, +9.520, +0.981,+0.900
1766904060,+3.48, +9.529, +0.972,+0.900
1766904360,+3.48, +9.501, +0.959,+0.900
1766904660,+3.48, +9.492, +0.943,+0.900
1766904960,+3.48, +9.492, +0.923,+0.900
1766905260,+3.48, +9.446, +0.914,+0.900
1766905560,+3.48, +9.391, +0.905,+0.900
1766905860,+3.48, +9.335, +0.898,+0.900
1766906160,+3.48, +9.317, +0.891,+0.901
1766906460,+3.48, +9.243, +0.887,+0.900
1766906760,+3.48, +9.233, +0.885,+0.900
1766907060,+3.48, +9.178, +0.879,+0.901
1766907360,+3.48, +9.178, +0.870,+0.901
