7450-340250
OS REV: 1.05 Sensor Cal: 1705524272
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1743806460,+3.50,+19.868, +7.533,+0.958
1743806760,+3.50,+19.994, +7.551,+0.958
1743807060,+3.50,+20.011, +7.568,+0.958
1743807360,+3.50,+19.944, +7.575,+0.957
1743807660,+3.50,+20.011, +7.571,+0.957
1743807960,+3.50,+19.952, +6.996,+0.958
1743808260,+3.50,+20.027, +6.728,+0.957
1743808560,+3.50,+20.036, +6.625,+0.957
1743808860,+3.50,+19.977, +6.609,+0.957
1743809160,+3.51,+20.094, +6.615,+0.957
1743809460,+3.51,+20.136, +6.661,+0.957
1743809760,+3.51,+20.178, +6.703,+0.957
1743810060,+3.51,+20.228, +6.758,+0.958
1743810360,+3.51,+20.312, +6.786,+0.957
1743810660,+3.51,+20.387, +6.834,+0.957
1743810960,+3.51,+20.446, +6.892,+0.957
1743811260,+3.51,+20.462, +6.235,+0.957
1743811560,+3.51,+20.504, +6.350,+0.957
1743811860,+3.51,+20.479, +6.459,+0.958
1743812160,+3.51,+20.370, +6.538,+0.957
1743812460,+3.51,+20.262, +6.609,+0.957
1743812760,+3.51,+20.253, +6.662,+0.957
1743813060,+3.51,+20.404, +6.701,+0.957
1743813360,+3.51,+20.345, +6.749,+0.956
1743813660,+3.51,+20.278, +6.810,+0.957
1743813960,+3.51,+20.228, +6.861,+0.957
1743814260,+3.51,+20.195, +6.930,+0.958
1743814560,+3.51,+20.186, +6.972,+0.957
1743814860,+3.51,+20.161, +7.035,+0.958
1743815160,+3.51,+20.270, +7.049,+0.957
1743815460,+3.51,+20.253, +7.089,+0.957
1743815760,+3.51,+20.211, +7.124,+0.958
1743816060,+3.51,+20.203, +7.143,+0.958
1743816360,+3.51,+20.170, +7.162,+0.958
1743816660,+3.51,+20.136, +7.190,+0.957
1743816960,+3.51,+20.027, +7.270,+0.957
1743817260,+3.51,+19.994, +7.329,+0.958
1743817560,+3.51,+19.969, +7.356,+0.958
1743817860,+3.51,+19.902, +7.407,+0.958
1743818160,+3.51,+19.910, +7.414,+0.958
1743818460,+3.51,+19.877, +7.448,+0.958
1743818760,+3.51,+19.852, +7.457,+0.958
1743819060,+3.51,+19.826, +7.465,+0.958
1743819360,+3.51,+19.818, +7.484,+0.958
1743819660,+3.51,+19.785, +7.505,+0.958
1743819960,+3.51,+19.793, +7.497,+0.957
1743820260,+3.51,+19.776, +7.516,+0.958
1743820560,+3.51,+19.743, +7.534,+0.958
1743820860,+3.51,+19.759, +7.528,+0.958
1743821160,+3.51,+19.734, +7.541,+0.958
1743821460,+3.51,+19.709, +7.544,+0.958
1743821760,+3.51,+19.701, +7.551,+0.958
1743822060,+3.51,+19.709, +7.549,+0.958
1743822360,+3.51,+19.692, +7.558,+0.958
1743822660,+3.51,+19.684, +7.559,+0.958
1743822960,+3.51,+19.659, +7.559,+0.958
1743823260,+3.51,+19.642, +7.563,+0.958
1743823560,+3.51,+19.634, +7.464,+0.958
1743823860,+3.51,+19.642, +7.010,+0.957
1743824160,+3.51,+19.642, +6.828,+0.958
1743824460,+3.51,+19.634, +6.765,+0.957
1743824760,+3.51,+19.625, +6.760,+0.957
1743825060,+3.51,+19.609, +6.766,+0.957
1743825360,+3.51,+19.558, +6.705,+0.957
1743825660,+3.51,+19.525, +6.534,+0.958
1743825960,+3.51,+19.483, +6.413,+0.957
1743826260,+3.51,+19.408, +6.377,+0.958
1743826560,+3.51,+19.383, +6.378,+0.958
1743826860,+3.51,+19.383, +6.381,+0.957
1743827160,+3.51,+19.391, +6.415,+0.958
1743827460,+3.51,+19.349, +6.466,+0.958
1743827760,+3.51,+19.341, +6.500,+0.958
1743828060,+3.51,+19.274, +6.551,+0.958
