7450-340250
OS REV: 1.05 Sensor Cal: 1705524272
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1762359420,+3.50,+16.090, +3.112,+0.972
1762359720,+3.50,+16.073, +3.118,+0.972
1762360020,+3.50,+16.090, +3.123,+0.972
1762360320,+3.50,+16.090, +3.124,+0.972
1762360620,+3.50,+16.099, +3.122,+0.972
1762360920,+3.50,+16.073, +3.125,+0.972
1762361220,+3.51,+16.090, +3.121,+0.972
1762361520,+3.50,+16.116, +3.117,+0.972
1762361820,+3.50,+16.107, +3.117,+0.972
1762362120,+3.50,+16.099, +3.116,+0.972
1762362420,+3.50,+16.099, +3.113,+0.972
1762362720,+3.50,+16.099, +3.112,+0.972
1762363020,+3.50,+16.116, +3.108,+0.972
1762363320,+3.50,+16.116, +3.107,+0.972
1762363620,+3.51,+16.107, +3.107,+0.972
1762363920,+3.51,+16.090, +3.105,+0.972
1762364220,+3.51,+16.081, +3.108,+0.972
1762364520,+3.51,+16.081, +3.108,+0.972
1762364820,+3.51,+16.081, +3.113,+0.972
1762365120,+3.51,+16.073, +3.115,+0.972
1762365420,+3.51,+16.090, +3.113,+0.972
1762365720,+3.51,+16.081, +3.111,+0.972
1762366020,+3.51,+16.081, +3.113,+0.972
1762366320,+3.51,+16.064, +3.112,+0.972
1762366620,+3.51,+16.073, +3.111,+0.972
1762366920,+3.51,+16.090, +3.107,+0.972
1762367220,+3.51,+16.073, +3.106,+0.972
1762367520,+3.51,+16.064, +3.106,+0.972
1762367820,+3.51,+16.073, +3.103,+0.972
1762368120,+3.50,+16.064, +3.104,+0.972
1762368420,+3.50,+16.081, +3.099,+0.972
1762368720,+3.50,+16.090, +3.099,+0.972
1762369020,+3.51,+16.081, +3.097,+0.972
1762369320,+3.51,+16.081, +3.097,+0.972
1762369620,+3.51,+16.099, +3.095,+0.972
1762369920,+3.51,+16.056, +3.097,+0.972
1762370220,+3.51,+16.081, +3.092,+0.972
1762370520,+3.51,+16.081, +3.092,+0.972
1762370820,+3.51,+16.073, +3.091,+0.972
1762371120,+3.51,+16.073, +3.092,+0.972
1762371420,+3.51,+16.081, +3.087,+0.972
1762371720,+3.51,+16.081, +3.086,+0.972
1762372020,+3.51,+16.073, +3.087,+0.972
1762372320,+3.51,+16.073, +3.086,+0.972
1762372620,+3.51,+16.081, +3.084,+0.972
1762372920,+3.51,+16.064, +3.084,+0.972
1762373220,+3.51,+16.081, +3.080,+0.972
