7450-361913
OS REV: 1.05 Sensor Cal: 1705524136
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1773359640,+3.51,+32.642, +6.998,+0.890
1773359940,+3.51,+32.651, +6.961,+0.889
1773360240,+3.52,+32.405, +7.018,+0.890
1773360540,+3.52,+32.221, +7.006,+0.890
1773360840,+3.52,+32.116, +7.015,+0.890
1773361140,+3.52,+31.994, +7.029,+0.890
1773361440,+3.52,+31.906, +7.047,+0.890
1773361740,+3.52,+31.924, +7.049,+0.891
1773362040,+3.52,+31.836, +7.029,+0.891
1773362340,+3.52,+31.819, +7.055,+0.891
1773362640,+3.52,+31.924, +7.064,+0.892
1773362940,+3.52,+31.976, +7.068,+0.892
1773363240,+3.52,+31.915, +7.065,+0.891
1773363540,+3.52,+31.496, +7.087,+0.892
1773363840,+3.52,+30.914, +7.141,+0.892
1773364140,+3.53,+30.351, +7.216,+0.894
1773364440,+3.53,+29.877, +7.280,+0.894
1773364740,+3.53,+29.387, +7.324,+0.894
1773365040,+3.53,+28.915, +7.393,+0.896
1773365340,+3.53,+28.471, +7.443,+0.895
1773365640,+3.53,+28.036, +7.498,+0.896
1773365940,+3.53,+27.568, +7.541,+0.896
1773366240,+3.53,+27.110, +7.599,+0.897
1773366540,+3.53,+26.670, +7.661,+0.897
1773366840,+3.53,+26.078, +7.719,+0.897
1773367140,+3.53,+25.438, +7.810,+0.897
1773367440,+3.53,+24.691, +7.909,+0.897
1773367740,+3.53,+23.919, +8.026,+0.898
1773368040,+3.53,+23.217, +8.113,+0.897
1773368340,+3.54,+22.598, +8.210,+0.898
1773368640,+3.53,+22.063, +8.286,+0.899
1773368940,+3.54,+21.554, +8.364,+0.899
1773369240,+3.53,+21.061, +8.428,+0.899
1773369540,+3.54,+20.551, +8.507,+0.900
1773369840,+3.54,+20.099, +8.567,+0.900
1773370140,+3.54,+19.647, +8.637,+0.900
1773370440,+3.54,+19.177, +8.702,+0.900
1773370740,+3.54,+18.741, +8.769,+0.900
1773371040,+3.54,+18.329, +8.843,+0.901
1773371340,+3.54,+17.950, +8.923,+0.901
1773371640,+3.54,+17.646, +8.961,+0.901
1773371940,+3.54,+17.358, +9.002,+0.901
1773372240,+3.54,+17.104, +9.053,+0.902
1773372540,+3.54,+16.842, +9.094,+0.902
1773372840,+3.54,+16.570, +9.155,+0.902
1773373140,+3.54,+16.357, +9.175,+0.902
1773373440,+3.54,+16.153, +9.217,+0.903
1773373740,+3.54,+15.922, +9.256,+0.903
1773374040,+3.54,+15.725, +9.298,+0.903
1773374340,+3.54,+15.546, +9.331,+0.903
1773374640,+3.54,+15.357, +9.371,+0.903
1773374940,+3.54,+15.168, +9.408,+0.904
1773375240,+3.54,+14.987, +9.438,+0.903
1773375540,+3.54,+14.944, +9.449,+0.904
1773375840,+3.54,+14.953, +9.449,+0.904
1773376140,+3.54,+14.927, +9.435,+0.903
1773376440,+3.54,+14.858, +9.450,+0.903
1773376740,+3.54,+14.824, +9.467,+0.904
1773377040,+3.54,+14.763, +9.483,+0.904
1773377340,+3.54,+14.694, +9.502,+0.904
1773377640,+3.54,+14.582, +9.534,+0.904
1773377940,+3.54,+14.452, +9.559,+0.903
1773378240,+3.54,+14.279, +9.612,+0.903
1773378540,+3.54,+14.132, +9.638,+0.904
1773378840,+3.54,+13.914, +9.691,+0.904
1773379140,+3.54,+13.740, +9.716,+0.904
1773379440,+3.54,+13.548, +9.763,+0.904
1773379740,+3.54,+13.373, +9.797,+0.904
1773380040,+3.54,+13.154, +9.847,+0.904
1773380340,+3.54,+13.049, +9.862,+0.904
1773380640,+3.54,+12.873, +9.913,+0.905
1773380940,+3.54,+12.741, +9.920,+0.904
1773381240,+3.54,+12.573, +9.961,+0.904
1773381540,+3.54,+12.458, +9.991,+0.904
1773381840,+3.53,+12.308,+10.031,+0.904
1773382140,+3.54,+12.210,+10.042,+0.904
1773382440,+3.54,+12.032,+10.103,+0.905
1773382740,+3.54,+11.926,+10.102,+0.904
1773383040,+3.54,+11.819,+10.112,+0.903
1773383340,+3.54,+11.676,+10.165,+0.904
1773383640,+3.54,+11.568,+10.201,+0.904
1773383940,+3.54,+11.506,+10.207,+0.904
1773384240,+3.54,+11.380,+10.251,+0.904
1773384540,+3.54,+11.308,+10.242,+0.904
1773384840,+3.54,+11.308,+10.243,+0.904
1773385140,+3.54,+11.264,+10.250,+0.904
1773385440,+3.53,+11.192,+10.269,+0.905
1773385740,+3.53,+11.219,+10.253,+0.904
1773386040,+3.54,+11.273,+10.239,+0.904
1773386340,+3.54,+11.273,+10.247,+0.904
1773386640,+3.53,+11.264,+10.250,+0.904
1773386940,+3.53,+11.174,+10.264,+0.904
1773387240,+3.53,+11.039,+10.305,+0.904
1773387540,+3.53,+10.975,+10.341,+0.905
1773387840,+3.53,+10.948,+10.319,+0.904
1773388140,+3.53,+10.894,+10.323,+0.904
1773388440,+3.53,+10.840,+10.340,+0.904
1773388740,+3.54,+10.722,+10.379,+0.905
1773389040,+3.54,+10.613,+10.398,+0.904
1773389340,+3.54,+10.550,+10.416,+0.904
1773389640,+3.54,+10.468,+10.443,+0.904
1773389940,+3.54,+10.386,+10.451,+0.904
1773390240,+3.54,+10.277,+10.482,+0.904
1773390540,+3.54,+10.241,+10.486,+0.904
1773390840,+3.54,+10.177,+10.511,+0.905
1773391140,+3.53,+10.131,+10.512,+0.904
1773391440,+3.53,+10.012,+10.543,+0.904
1773391740,+3.53, +9.902,+10.568,+0.904
1773392040,+3.53, +9.792,+10.599,+0.904
1773392340,+3.53, +9.801,+10.591,+0.904
1773392640,+3.53, +9.838,+10.583,+0.905
1773392940,+3.53, +9.838,+10.564,+0.904
1773393240,+3.53, +9.765,+10.580,+0.904
1773393540,+3.53, +9.663,+10.614,+0.904
1773393840,+3.53, +9.617,+10.621,+0.904
1773394140,+3.53, +9.544,+10.659,+0.904
1773394440,+3.53, +9.461,+10.684,+0.904
1773394740,+3.53, +9.442,+10.674,+0.904
1773395040,+3.53, +9.396,+10.686,+0.905
1773395340,+3.53, +9.359,+10.686,+0.904
1773395640,+3.53, +9.350,+10.690,+0.904
1773395940,+3.53, +9.368,+10.696,+0.905
1773396240,+3.53, +9.359,+10.690,+0.905
1773396540,+3.53, +9.294,+10.714,+0.904
1773396840,+3.53, +9.220,+10.726,+0.904
1773397140,+3.53, +9.118,+10.749,+0.904
1773397440,+3.53, +9.025,+10.767,+0.904
1773397740,+3.53, +8.923,+10.811,+0.904
1773398040,+3.53, +8.942,+10.805,+0.905
1773398340,+3.53, +8.951,+10.795,+0.904
1773398640,+3.53, +8.951,+10.800,+0.904
1773398940,+3.53, +8.942,+10.801,+0.905
1773399240,+3.53, +8.904,+10.809,+0.904
1773399540,+3.53, +8.867,+10.811,+0.904
1773399840,+3.53, +8.811,+10.822,+0.904
1773400140,+3.53, +8.830,+10.821,+0.904
1773400440,+3.53, +8.867,+10.809,+0.904
1773400740,+3.53, +8.830,+10.820,+0.904
1773401040,+3.53, +8.821,+10.826,+0.904
1773401340,+3.53, +8.895,+10.796,+0.904
1773401640,+3.53, +8.923,+10.800,+0.904
1773401940,+3.52, +8.867,+10.806,+0.904
1773402240,+3.53, +8.802,+10.815,+0.903
1773402540,+3.53, +8.765,+10.822,+0.903
1773402840,+3.53, +8.718,+10.851,+0.904
1773403140,+3.53, +8.680,+10.858,+0.903
1773403440,+3.53, +8.662,+10.865,+0.904
1773403740,+3.53, +8.596,+10.879,+0.904
1773404040,+3.53, +8.512,+10.900,+0.904
1773404340,+3.53, +8.399,+10.933,+0.904
1773404640,+3.53, +8.287,+10.969,+0.904
1773404940,+3.53, +8.183,+10.985,+0.904
1773405240,+3.53, +8.060,+11.012,+0.903
1773405540,+3.53, +7.994,+11.053,+0.904
1773405840,+3.53, +7.947,+11.058,+0.904
1773406140,+3.53, +7.899,+11.081,+0.904
1773406440,+3.53, +7.871,+11.082,+0.904
1773406740,+3.53, +7.880,+11.089,+0.904
1773407040,+3.53, +7.843,+11.100,+0.904
1773407340,+3.53, +7.795,+11.094,+0.903
1773407640,+3.52, +7.729,+11.113,+0.904
1773407940,+3.52, +7.662,+11.136,+0.904
1773408240,+3.52, +7.662,+11.128,+0.903
1773408540,+3.52, +7.681,+11.145,+0.904
1773408840,+3.52, +7.681,+11.136,+0.904
1773409140,+3.52, +7.748,+11.111,+0.904
1773409440,+3.53, +7.795,+11.122,+0.904
1773409740,+3.53, +7.928,+11.105,+0.905
1773410040,+3.53, +8.060,+11.046,+0.904
1773410340,+3.53, +8.004,+11.056,+0.904
1773410640,+3.53, +8.060,+11.050,+0.904
1773410940,+3.52, +8.098,+11.029,+0.904
1773411240,+3.52, +8.164,+11.011,+0.904
1773411540,+3.52, +8.202,+11.009,+0.904
1773411840,+3.52, +8.183,+11.013,+0.904
1773412140,+3.52, +8.145,+11.014,+0.904
1773412440,+3.52, +8.107,+11.024,+0.904
1773412740,+3.52, +8.107,+11.025,+0.904
1773413040,+3.52, +8.126,+11.025,+0.904
1773413340,+3.52, +8.324,+10.989,+0.904
1773413640,+3.52, +8.643,+10.917,+0.905
1773413940,+3.52, +9.007,+10.811,+0.905
1773414240,+3.52, +9.239,+10.754,+0.905
1773414540,+3.52, +9.433,+10.698,+0.905
1773414840,+3.52, +9.571,+10.648,+0.904
1773415140,+3.52, +9.746,+10.598,+0.904
1773415440,+3.52, +9.994,+10.552,+0.904
1773415740,+3.52,+10.468,+10.409,+0.904
1773416040,+3.52,+10.804,+10.324,+0.904
1773416340,+3.51,+11.129,+10.249,+0.903
1773416640,+3.52,+11.479,+10.149,+0.902
1773416940,+3.52,+11.819,+10.056,+0.902
1773417240,+3.51,+12.201, +9.956,+0.902
1773417540,+3.52,+12.600, +9.873,+0.902
1773417840,+3.52,+12.979, +9.795,+0.902
1773418140,+3.51,+13.365, +9.713,+0.901
1773418440,+3.52,+13.688, +9.696,+0.902
1773418740,+3.52,+13.993, +9.625,+0.901
1773419040,+3.51,+14.192, +9.643,+0.900
1773419340,+3.51,+14.478, +9.598,+0.900
1773419640,+3.52,+14.746, +9.547,+0.900
1773419940,+3.51,+15.030, +9.500,+0.900
1773420240,+3.51,+15.288, +9.391,+0.900
1773420540,+3.51,+15.580, +9.415,+0.901
1773420840,+3.51,+15.845, +9.339,+0.899
1773421140,+3.51,+16.084, +9.276,+0.900
1773421440,+3.51,+16.340, +9.254,+0.899
1773421740,+3.51,+16.629, +9.169,+0.900
1773422040,+3.51,+16.952, +9.111,+0.900
1773422340,+3.51,+17.299, +9.040,+0.900
1773422640,+3.51,+17.570, +8.981,+0.900
1773422940,+3.51,+17.823, +8.926,+0.900
1773423240,+3.51,+18.034, +8.885,+0.900
1773423540,+3.51,+18.245, +8.838,+0.899
1773423840,+3.51,+18.463, +8.813,+0.900
1773424140,+3.51,+18.657, +8.763,+0.899
1773424440,+3.50,+18.842, +8.717,+0.898
1773424740,+3.51,+19.001, +8.697,+0.899
1773425040,+3.51,+19.152, +8.656,+0.899
1773425340,+3.51,+19.278, +8.643,+0.899
1773425640,+3.51,+19.437, +8.610,+0.899
1773425940,+3.51,+19.546, +8.590,+0.899
1773426240,+3.50,+19.697, +8.558,+0.898
1773426540,+3.50,+19.798, +8.552,+0.899
1773426840,+3.50,+19.898, +8.534,+0.899
1773427140,+3.50,+20.032, +8.515,+0.899
1773427440,+3.51,+20.141, +8.484,+0.898
1773427740,+3.51,+20.258, +8.460,+0.898
1773428040,+3.51,+20.375, +8.447,+0.898
1773428340,+3.51,+20.509, +8.421,+0.898
1773428640,+3.50,+20.601, +8.414,+0.899
1773428940,+3.50,+20.726, +8.378,+0.898
1773429240,+3.50,+20.860, +8.359,+0.898
1773429540,+3.50,+20.969, +8.347,+0.899
1773429840,+3.50,+21.102, +8.318,+0.898
1773430140,+3.51,+21.253, +8.298,+0.898
1773430440,+3.50,+21.370, +8.277,+0.898
1773430740,+3.50,+21.487, +8.256,+0.898
1773431040,+3.50,+21.604, +8.236,+0.898
1773431340,+3.50,+21.721, +8.229,+0.898
1773431640,+3.50,+21.846, +8.208,+0.898
1773431940,+3.50,+21.971, +8.187,+0.898
1773432240,+3.50,+22.080, +8.174,+0.898
1773432540,+3.50,+22.214, +8.143,+0.897
1773432840,+3.50,+22.331, +8.134,+0.898
1773433140,+3.50,+22.431, +8.126,+0.898
1773433440,+3.50,+22.556, +8.101,+0.898
1773433740,+3.50,+22.656, +8.083,+0.897
1773434040,+3.50,+22.740, +8.084,+0.898
1773434340,+3.50,+22.882, +8.063,+0.898
1773434640,+3.50,+22.999, +8.095,+0.897
1773434940,+3.50,+23.058, +8.132,+0.897
1773435240,+3.50,+22.840, +8.182,+0.897
1773435540,+3.50,+22.790, +8.189,+0.897
1773435840,+3.50,+22.556, +8.249,+0.896
1773436140,+3.50,+22.197, +8.316,+0.897
1773436440,+3.50,+21.813, +8.364,+0.897
1773436740,+3.50,+21.888, +8.348,+0.897
1773437040,+3.50,+22.088, +8.312,+0.897
1773437340,+3.50,+22.255, +8.299,+0.898
1773437640,+3.50,+22.464, +8.267,+0.898
1773437940,+3.50,+23.359, +8.146,+0.899
1773438240,+3.50,+23.819, +8.071,+0.898
1773438540,+3.50,+23.995, +8.071,+0.898
1773438840,+3.50,+24.120, +8.042,+0.898
1773439140,+3.50,+24.146, +8.065,+0.897
1773439440,+3.50,+24.012, +8.053,+0.897
1773439740,+3.50,+24.137, +8.083,+0.898
1773440040,+3.50,+24.540, +8.001,+0.898
1773440340,+3.50,+25.901, +7.875,+0.899
1773440640,+3.50,+27.593, +7.498,+0.903
1773440940,+3.50,+25.295, +7.684,+0.898
1773441240,+3.50,+23.710, +7.892,+0.897
1773441540,+3.50,+22.782, +8.008,+0.897
1773441840,+3.50,+21.821, +8.281,+0.896
1773442140,+3.51,+22.331, +8.073,+0.896
1773442440,+3.51,+22.439, +8.062,+0.897
1773442740,+3.51,+22.514, +8.052,+0.897
