7450-372515
OS REV: 1.05 Sensor Cal: 1705526694
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1774239060,+3.54,+19.710, +8.726,+0.910
1774239360,+3.55,+19.417, +8.779,+0.910
1774239660,+3.55,+19.182, +8.818,+0.910
1774239960,+3.55,+19.048, +8.838,+0.910
1774240260,+3.54,+18.913, +8.865,+0.911
1774240560,+3.54,+18.771, +8.896,+0.911
1774240860,+3.55,+18.653, +8.923,+0.911
1774241160,+3.55,+18.544, +8.934,+0.911
1774241460,+3.55,+18.443, +8.938,+0.910
1774241760,+3.55,+18.216, +8.997,+0.911
1774242060,+3.55,+18.064, +9.022,+0.911
1774242360,+3.55,+17.896, +9.049,+0.910
1774242660,+3.54,+17.820, +9.075,+0.911
1774242960,+3.54,+17.761, +9.096,+0.911
1774243260,+3.54,+17.702, +9.093,+0.911
1774243560,+3.54,+17.634, +9.117,+0.911
1774243860,+3.55,+17.567, +9.111,+0.911
1774244160,+3.55,+17.423, +9.142,+0.910
1774244460,+3.55,+17.322, +9.150,+0.911
1774244760,+3.55,+17.178, +9.182,+0.911
1774245060,+3.55,+17.034, +9.214,+0.911
1774245360,+3.55,+16.975, +9.207,+0.910
1774245660,+3.55,+16.882, +9.230,+0.910
1774245960,+3.54,+16.746, +9.257,+0.910
1774246260,+3.54,+16.593, +9.300,+0.910
1774246560,+3.54,+16.517, +9.309,+0.911
1774246860,+3.54,+16.440, +9.328,+0.911
1774247160,+3.55,+16.338, +9.355,+0.911
1774247460,+3.55,+16.262, +9.357,+0.911
1774247760,+3.55,+16.177, +9.402,+0.911
1774248060,+3.55,+16.185, +9.384,+0.911
1774248360,+3.55,+16.126, +9.391,+0.911
1774248660,+3.55,+16.032, +9.411,+0.911
1774248960,+3.55,+15.947, +9.423,+0.911
1774249260,+3.55,+15.870, +9.431,+0.911
1774249560,+3.55,+15.793, +9.453,+0.911
1774249860,+3.54,+15.682, +9.458,+0.910
1774250160,+3.54,+15.588, +9.486,+0.911
1774250460,+3.54,+15.502, +9.485,+0.911
1774250760,+3.54,+15.417, +9.515,+0.911
1774251060,+3.54,+15.365, +9.527,+0.911
1774251360,+3.54,+15.314, +9.531,+0.911
1774251660,+3.55,+15.262, +9.561,+0.911
1774251960,+3.54,+15.228, +9.563,+0.911
1774252260,+3.55,+15.194, +9.565,+0.911
1774252560,+3.55,+15.116, +9.594,+0.911
1774252860,+3.55,+15.082, +9.597,+0.911
1774253160,+3.55,+15.022, +9.615,+0.911
1774253460,+3.55,+14.936, +9.619,+0.911
1774253760,+3.55,+14.850, +9.652,+0.911
1774254060,+3.55,+14.850, +9.622,+0.911
1774254360,+3.55,+14.703, +9.652,+0.911
1774254660,+3.54,+14.470, +9.690,+0.911
1774254960,+3.54,+14.358, +9.724,+0.911
1774255260,+3.54,+14.306, +9.760,+0.912
1774255560,+3.54,+14.289, +9.747,+0.911
1774255860,+3.54,+14.306, +9.751,+0.912
1774256160,+3.54,+14.254, +9.775,+0.912
1774256460,+3.54,+14.115, +9.788,+0.912
1774256760,+3.54,+13.933, +9.817,+0.912
1774257060,+3.55,+13.759, +9.851,+0.911
1774257360,+3.55,+13.637, +9.875,+0.911
1774257660,+3.54,+13.585, +9.889,+0.911
1774257960,+3.54,+13.445, +9.917,+0.912
1774258260,+3.54,+13.340, +9.932,+0.911
1774258560,+3.54,+13.218, +9.968,+0.911
1774258860,+3.54,+13.165, +9.984,+0.912
1774259160,+3.54,+13.139, +9.991,+0.912
1774259460,+3.54,+13.086, +9.999,+0.912
1774259760,+3.54,+13.051,+10.011,+0.912
1774260060,+3.54,+13.034,+10.016,+0.912
1774260360,+3.54,+13.016,+10.007,+0.912
1774260660,+3.54,+12.981,+10.022,+0.912
1774260960,+3.54,+12.964,+10.031,+0.912
1774261260,+3.54,+12.981,+10.023,+0.912
1774261560,+3.54,+12.911,+10.043,+0.912
1774261860,+3.54,+12.849,+10.054,+0.912
1774262160,+3.54,+12.788,+10.067,+0.912
1774262460,+3.54,+12.700,+10.086,+0.912
1774262760,+3.54,+12.700,+10.086,+0.912
1774263060,+3.54,+12.761,+10.093,+0.912
1774263360,+3.54,+12.823,+10.063,+0.912
1774263660,+3.54,+12.867,+10.061,+0.912
1774263960,+3.54,+12.902,+10.056,+0.912
1774264260,+3.54,+12.902,+10.049,+0.912
1774264560,+3.54,+12.858,+10.053,+0.911
1774264860,+3.54,+12.761,+10.078,+0.912
1774265160,+3.54,+12.673,+10.096,+0.912
1774265460,+3.54,+12.567,+10.111,+0.911
1774265760,+3.54,+12.435,+10.135,+0.911
1774266060,+3.54,+12.320,+10.167,+0.911
1774266360,+3.54,+12.240,+10.180,+0.911
1774266660,+3.54,+12.143,+10.200,+0.911
1774266960,+3.54,+12.045,+10.233,+0.912
1774267260,+3.54,+11.956,+10.252,+0.912
1774267560,+3.54,+11.903,+10.256,+0.911
1774267860,+3.54,+11.885,+10.266,+0.912
1774268160,+3.54,+11.867,+10.263,+0.912
1774268460,+3.54,+11.903,+10.270,+0.912
1774268760,+3.54,+11.894,+10.268,+0.912
1774269060,+3.54,+11.849,+10.274,+0.912
1774269360,+3.54,+11.769,+10.304,+0.912
1774269660,+3.54,+11.698,+10.312,+0.912
1774269960,+3.54,+11.680,+10.307,+0.912
1774270260,+3.54,+11.716,+10.316,+0.912
1774270560,+3.54,+11.751,+10.311,+0.912
1774270860,+3.54,+11.849,+10.297,+0.912
1774271160,+3.54,+11.876,+10.279,+0.912
1774271460,+3.54,+11.832,+10.287,+0.912
1774271760,+3.54,+11.796,+10.281,+0.911
1774272060,+3.54,+11.716,+10.307,+0.912
1774272360,+3.54,+11.671,+10.315,+0.911
1774272660,+3.54,+11.591,+10.335,+0.912
1774272960,+3.54,+11.528,+10.345,+0.911
1774273260,+3.54,+11.483,+10.367,+0.912
1774273560,+3.54,+11.457,+10.366,+0.912
1774273860,+3.54,+11.457,+10.381,+0.912
1774274160,+3.54,+11.421,+10.377,+0.912
1774274460,+3.54,+11.367,+10.384,+0.911
1774274760,+3.54,+11.277,+10.415,+0.912
1774275060,+3.53,+11.259,+10.421,+0.912
1774275360,+3.54,+11.385,+10.394,+0.912
1774275660,+3.54,+11.483,+10.383,+0.912
1774275960,+3.54,+11.600,+10.354,+0.912
1774276260,+3.54,+11.814,+10.319,+0.912
1774276560,+3.53,+11.930,+10.287,+0.912
1774276860,+3.53,+12.134,+10.235,+0.911
1774277160,+3.53,+12.285,+10.210,+0.912
1774277460,+3.53,+12.435,+10.182,+0.911
1774277760,+3.54,+12.629,+10.152,+0.911
1774278060,+3.53,+12.849,+10.091,+0.911
1774278360,+3.53,+13.034,+10.059,+0.911
1774278660,+3.53,+13.192,+10.026,+0.911
1774278960,+3.53,+13.393, +9.971,+0.911
1774279260,+3.53,+13.585, +9.938,+0.910
1774279560,+3.53,+13.837, +9.891,+0.910
1774279860,+3.53,+14.037, +9.839,+0.910
1774280160,+3.53,+14.263, +9.806,+0.910
1774280460,+3.53,+14.565, +9.746,+0.910
1774280760,+3.53,+14.858, +9.705,+0.910
1774281060,+3.53,+15.090, +9.663,+0.910
1774281360,+3.53,+15.305, +9.596,+0.909
1774281660,+3.53,+15.571, +9.549,+0.909
1774281960,+3.53,+15.836, +9.512,+0.909
1774282260,+3.53,+16.126, +9.449,+0.908
1774282560,+3.53,+16.381, +9.421,+0.909
1774282860,+3.53,+16.644, +9.390,+0.909
1774283160,+3.53,+16.907, +9.330,+0.908
1774283460,+3.53,+17.178, +9.271,+0.908
1774283760,+3.53,+17.516, +9.190,+0.908
1774284060,+3.52,+17.753, +9.170,+0.908
1774284360,+3.53,+18.031, +9.133,+0.908
1774284660,+3.53,+18.334, +9.081,+0.908
1774284960,+3.52,+18.687, +9.018,+0.907
1774285260,+3.53,+19.056, +8.961,+0.907
1774285560,+3.53,+19.291, +8.902,+0.907
1774285860,+3.53,+19.442, +8.860,+0.907
1774286160,+3.52,+19.551, +8.865,+0.907
1774286460,+3.52,+19.567, +8.835,+0.906
1774286760,+3.52,+19.659, +8.854,+0.906
1774287060,+3.52,+19.952, +8.798,+0.906
1774287360,+3.52,+20.187, +8.781,+0.907
1774287660,+3.53,+20.320, +8.734,+0.906
1774287960,+3.52,+20.780, +8.686,+0.906
1774288260,+3.52,+21.022, +8.639,+0.906
1774288560,+3.52,+21.373, +8.609,+0.907
1774288860,+3.52,+21.306, +8.621,+0.906
1774289160,+3.52,+21.749, +8.541,+0.906
1774289460,+3.52,+21.824, +8.533,+0.905
1774289760,+3.52,+22.200, +8.513,+0.906
1774290060,+3.52,+22.568, +8.407,+0.906
1774290360,+3.52,+22.877, +8.380,+0.905
1774290660,+3.52,+23.161, +8.328,+0.906
1774290960,+3.52,+23.370, +8.310,+0.905
1774291260,+3.52,+23.546, +8.266,+0.905
1774291560,+3.52,+23.739, +8.256,+0.905
1774291860,+3.52,+23.772, +8.227,+0.905
1774292160,+3.52,+23.722, +8.229,+0.904
1774292460,+3.52,+23.847, +8.257,+0.905
