Block_Code,Block_Name,Band,Sample_ID,Date,Specific_Conductance,Chloride,Sulfate
FRW,Fremont Weir,,FRW,2000-03-07,121,3,9
FRW,Fremont Weir,,FRW,2000-03-17,147,4,10
STTD,Lower Bypass,,STTD,2000-01-26,790,49,104
STTD,Lower Bypass,,STTD,2000-01-28,712,43,100
STTD,Lower Bypass,,STTD,2000-01-31,728,41,90
STTD,Lower Bypass,,STTD,2000-02-02,747,42,87
STTD,Lower Bypass,,STTD,2000-02-03,753,49,90
STTD,Lower Bypass,,STTD,2000-02-07,769,48,90
STTD,Lower Bypass,,STTD,2000-02-09,823,52,100
STTD,Lower Bypass,,STTD,2000-02-11,810,51,98
STTD,Lower Bypass,,STTD,2000-02-14,570,35,68
STTD,Lower Bypass,,STTD,2000-02-16,201,10,16
STTD,Lower Bypass,,STTD,2000-02-25,169,7,11
STTD,Lower Bypass,,STTD,2000-02-28,146,5,10
STTD,Lower Bypass,,STTD,2000-03-06,146,5,10
STTD,Lower Bypass,,STTD,2000-03-20,476,23,44
STTD,Lower Bypass,,STTD,2000-03-22,534,27,51
STTD,Lower Bypass,,STTD,2000-03-23,574,30,57
STTD,Lower Bypass,,STTD,2000-03-24,559,30,54
STTD,Lower Bypass,,STTD,2000-03-27,568,31,50
STTD,Lower Bypass,,STTD,2000-03-31,640,37,61
STTD,Lower Bypass,,STTD,2000-04-10,824,53,92
STTD,Lower Bypass,,STTD,2000-04-17,921,77,71
STTD,Lower Bypass,,STTD,2000-04-24,464,25,40
STTD,Lower Bypass,,STTD,2000-05-01,654,45,55
STTD,Lower Bypass,,STTD,2000-05-08,763,62,55
STTD,Lower Bypass,,STTD,2000-05-15,604,44,45
STTD,Lower Bypass,,STTD,2000-05-22,642,49,48
TD80,Toe Drain I-80,,TD80,2000-01-26,832,51,118
TD80,Toe Drain I-80,,TD80,2000-02-16,163,7,13
TD80,Toe Drain I-80,,TD80,2000-02-28,160,6,11
TD80,Toe Drain I-80,,TD80,2000-03-07,153,5,11
TD80,Toe Drain I-80,,TD80,2000-03-17,262,11,23
TD80,Toe Drain I-80,,TD80,2000-03-23,715,42,87
TD80,Toe Drain I-80,,TD80,2000-03-28,705,45,71
TD80,Toe Drain I-80,,TD80,2000-04-03,833,54,93
TD80,Toe Drain I-80,,TD80,2000-04-17,911,75,84
TD80,Toe Drain I-80,,TD80,2000-05-21,678,52,60
TD5,Toe Drain I-5,,TD5,2000-01-26,783,41,124
TD5,Toe Drain I-5,,TD5,2000-02-16,128,5,10
TD5,Toe Drain I-5,,TD5,2000-02-28,138,4,9
TD5,Toe Drain I-5,,TD5,2000-03-07,157,7,10
TD5,Toe Drain I-5,,TD5,2000-03-17,363,16,39
TD5,Toe Drain I-5,,TD5,2000-03-23,731,42,92
TD5,Toe Drain I-5,,TD5,2000-03-28,741,44,88
TD5,Toe Drain I-5,,TD5,2000-04-03,837,52,107
TD5,Toe Drain I-5,,TD5,2000-04-17,805,66,50
TD5,Toe Drain I-5,,TD5,2000-05-21,778,75,61
RCW16,Ridge Cut West,,RCW16,2000-01-26,744,38,115
RCW16,Ridge Cut West,,RCW16,2000-02-16,442,24,62
RCW16,Ridge Cut West,,RCW16,2000-03-07,554,28,69
RCE16,Ridge Cut East,,RCE16,2000-01-26,725,35,112
RCE16,Ridge Cut East,,RCE16,2000-02-16,442,24,63
RCE16,Ridge Cut East,,RCE16,2000-02-20,600,30,83
RCE16,Ridge Cut East,,RCE16,2000-02-28,588,30,79
RCE16,Ridge Cut East,,RCE16,2000-03-07,571,29,72
RCE16,Ridge Cut East,,RCE16,2000-03-17,780,41,102
RCE16,Ridge Cut East,,RCE16,2000-03-23,784,42,108
RCE16,Ridge Cut East,,RCE16,2000-03-28,891,51,129
RCE16,Ridge Cut East,,RCE16,2000-04-03,842,46,113
RCE16,Ridge Cut East,,RCE16,2000-04-17,895,76,87
CBD99E,Colusa Basin Drain,,CBD99E,2000-02-20,613,31,85
CBD99E,Colusa Basin Drain,,CBD99E,2000-02-28,612,31,84
CBD99E,Colusa Basin Drain,,CBD99E,2000-05-21,515,23,83
CC113,Cache Creek,,CC113,2000-01-26,702,78,52
CC113,Cache Creek,,CC113,2000-02-16,389,26,29
CC113,Cache Creek,,CC113,2000-02-28,334,14,26
CC113,Cache Creek,,CC113,2000-03-07,359,14,25
CC113,Cache Creek,,CC113,2000-03-17,416,20,25
CC113,Cache Creek,,CC113,2000-03-23,544,35,34
CC113,Cache Creek,,CC113,2000-03-28,550,35,33
CC113,Cache Creek,,CC113,2000-04-03,747,49,41
CC113,Cache Creek,,CC113,2000-04-17,498,30,26
CC113,Cache Creek,,CC113,2000-05-21,728,46,37
WS102,Willow Slough,,WS102,2000-01-26,441,26,54
WS102,Willow Slough,,WS102,2000-02-16,323,17,36
WS102,Willow Slough,,WS102,2000-02-28,421,22,40
WS102,Willow Slough,,WS102,2000-03-07,423,21,37
WS102,Willow Slough,,WS102,2000-03-17,870,26,28
WS102,Willow Slough,,WS102,2000-03-23,851,60,81
WS102,Willow Slough,,WS102,2000-03-28,1181,68,78
WS102,Willow Slough,,WS102,2000-04-03,659,44,45
WS102,Willow Slough,,WS102,2000-04-17,457,26,28
WS102,Willow Slough,,WS102,2000-05-21,551,31,30
PCD,Putah Creek,,PCD,2000-01-26,471,, 
PCD,Putah Creek,,PCD,2000-02-16,336,14,30
PCD,Putah Creek,,PCD,2000-02-28,430,17,45
PCD,Putah Creek,,PCD,2000-03-07,358,8,30
PCD,Putah Creek,,PCD,2000-03-17,352,7,26
PCD,Putah Creek,,PCD,2000-03-23,351,7,25
PCD,Putah Creek,,PCD,2000-03-28,354,7,25
PCD,Putah Creek,,PCD,2000-04-03,434,15,29
PCD,Putah Creek,,PCD,2000-04-17,573,27,33
PCD,Putah Creek,,PCD,2000-05-21,567,24,34
Boat_A,Boat Sample – Band A,A,BAND A,2000-02-17,133,5,10
Boat_B,Boat Sample – Band B,B,BAND B,2000-02-17,109,4,9
Boat_C,Boat Sample – Band C,C,BAND C,2000-02-17,118,4,10
Boat_D,Boat Sample – Band D,D,BAND D,2000-02-17,220,9,23
Boat_A,Boat Sample – Band A,A,BAND A,2000-02-18,119,4,9
Boat_B,Boat Sample – Band B,B,BAND B,2000-02-18,117,4,9
Boat_C,Boat Sample – Band C,C,BAND C,2000-02-18,114,4,10
Boat_D,Boat Sample – Band D,D,BAND D,2000-02-18,368,20,47
Boat_B,Boat Sample – Band B,B,BAND B,2000-02-19,132,4,10
Boat_C,Boat Sample – Band C,C,BAND C,2000-02-19,127,4,10
Boat_D,Boat Sample – Band D,D,BAND D,2000-02-19,288,13,33
Boat_A,Boat Sample – Band A,A,BAND A,2000-02-20,147,6,10
Boat_B,Boat Sample – Band B,B,BAND B,2000-02-20,140,4,10
Boat_C,Boat Sample – Band C,C,BAND C,2000-02-20,145,4,11
Boat_D,Boat Sample – Band D,D,BAND D,2000-02-20,416,16,42
Outlet,Southern Outlet,,LH-1,2000-04-11,527,33,51
Outlet,Southern Outlet,,PS-1,2000-03-23,558,28,54
