Block_Code,Block_Name,Band,Station_ID,Date,NO2,NplusN,NH4,DIN,DRP,DiSi
FRW,Fremont Weir,,FRW,2000-03-07,0.14,11.1,0.89,12,1.09,308
FRW,Fremont Weir,,FRW,2000-03-17,0.08,14.1,0.33,14.4,0.68,339
STTD,Lower Bypass,,STTD,2000-01-26,3.59,73.5,9.16,82.7,5.41,243
STTD,Lower Bypass,,STTD,2000-01-28,2.87,76.2,14.7,90.9,4.62,273
STTD,Lower Bypass,,STTD,2000-02-14,1.63,58.6,12.08,70.7,4.08,205
STTD,Lower Bypass,,STTD,2000-02-16,0.53,22.1,4.43,26.5,1.88,271
STTD,Lower Bypass,,STTD,2000-02-25,0.17,15.6,0.89,16.5,1.25,352
STTD,Lower Bypass,,STTD,2000-02-28,0.17,12.5,0.9,13.4,0.99,321
STTD,Lower Bypass,,STTD,2000-03-06,0.15,10.5,0.77,11.3,0.84,327
STTD,Lower Bypass,,STTD,2000-03-20,0.2,6.8,2.03,8.8,1.22,221
STTD,Lower Bypass,,STTD,2000-03-22,0.35,16.1,2.8,18.9,1.36,200
STTD,Lower Bypass,,STTD,2000-03-23,0.4,19.3,2.19,21.5,1.6,206
STTD,Lower Bypass,,STTD,2000-03-24,0.61,20.7,5.49,26.2,1.62,194
STTD,Lower Bypass,,STTD,2000-03-27,0.81,25.2,6.26,31.4,1.64,188
STTD,Lower Bypass,,STTD,2000-03-31,1.3,36.6,11.63,48.3,2.05,161
STTD,Lower Bypass,,STTD,2000-04-10,3.18,101.4,6.15,107.5,5.03,203
STTD,Lower Bypass,,STTD,2000-04-17,4.62,136,6.85,143,7.52,256
STTD,Lower Bypass,,STTD,2000-04-24,1.67,45,4.63,49.6,2.27,188
STTD,Lower Bypass,,STTD,2000-05-01,3.27,84.1,11.29,95.4,4.98,222
STTD,Lower Bypass,,STTD,2000-05-08,5.31,154,9.4,163,8.46,227
STTD,Lower Bypass,,STTD,2000-05-15,2.05,95.1,2.5,97.6,4.45,142
STTD,Lower Bypass,,STTD,2000-05-22,2.24,94.8,5.82,100.6,5.26,128
TD80,Toe Drain I-80,,TD80,2000-01-26,2.13,71.5,23.2,94.7,4.72,264
TD80,Toe Drain I-80,,TD80,2000-02-16,0.46,19.7,3.62,23.3,1.54,255
TD80,Toe Drain I-80,,TD80,2000-02-28,0.26,15.2,1,16.2,1.19,308
TD80,Toe Drain I-80,,TD80,2000-03-07,0.2,12.8,0.66,13.4,0.97,309
TD80,Toe Drain I-80,,TD80,2000-03-17,0.27,14.7,0.45,15.1,1.08,304
TD80,Toe Drain I-80,,TD80,2000-03-23,0.72,33.8,2.65,36.4,1.69,186
TD80,Toe Drain I-80,,TD80,2000-03-28,0.84,37,4.04,41,1.15,159
TD80,Toe Drain I-80,,TD80,2000-04-03,1.6,68.2,11.29,79.5,3.44,188
TD80,Toe Drain I-80,,TD80,2000-04-17,2.95,82.5,10.31,92.8,6.17,290
TD80,Toe Drain I-80,,TD80,2000-05-21,2.68,71.4,15.5,86.9,7.6,174
TD5,Toe Drain I-5,,TD5,2000-01-17,1.21,363,7.83,370.8,29.2,270
TD5,Toe Drain I-5,,TD5,2000-01-26,2.28,77.1,16,93.1,4.17,276
TD5,Toe Drain I-5,,TD5,2000-02-16,0.26,19.3,2.11,21.4,1.13,287
TD5,Toe Drain I-5,,TD5,2000-02-28,0.12,11.5,0.45,12,0.86,342
TD5,Toe Drain I-5,,TD5,2000-03-07,0.16,15.5,0.79,16.3,1.03,337
TD5,Toe Drain I-5,,TD5,2000-03-17,0.46,21.2,1.53,22.7,1.63,293
TD5,Toe Drain I-5,,TD5,2000-03-23,1.05,45.1,4.7,49.8,1.94,192
TD5,Toe Drain I-5,,TD5,2000-03-28,1.1,46.6,3.39,50,1.05,144
TD5,Toe Drain I-5,,TD5,2000-04-03,1.5,79.2,3.51,82.7,2.78,171
TD5,Toe Drain I-5,,TD5,2000-04-17,2.26,268,2.31,270,5.99,202
TD5,Toe Drain I-5,,TD5,2000-05-21,1.76,224,2.16,226,9.59,218
RCW16,Ridge Cut West,,RCW16,2000-01-17,3.37,85.9,5.15,91.1,1.4,323
RCW16,Ridge Cut West,,RCW16,2000-01-26,2.57,81.7,14.5,96.2,4.31,275
RCW16,Ridge Cut West,,RCW16,2000-02-16,1.95,55.3,11.83,67.1,3.75,212
RCW16,Ridge Cut West,,RCW16,2000-03-07,1.24,45.4,4.57,50,2.88,227
RCE16,Ridge Cut East,,RCE16,2000-01-26,2.59,81.2,14.1,95.3,3.91,277
RCE16,Ridge Cut East,,RCE16,2000-02-16,2.03,56.9,11.76,68.7,3.55,215
RCE16,Ridge Cut East,,RCE16,2000-02-20,1.37,34.1,7.98,42.1,2.77,274
RCE16,Ridge Cut East,,RCE16,2000-02-28,1.52,44.7,6.3,51,3.59,255
RCE16,Ridge Cut East,,RCE16,2000-03-07,1.19,46.7,4.7,51.4,2.76,225
RCE16,Ridge Cut East,,RCE16,2000-03-17,1.23,43.6,5.46,49,2.9,224
RCE16,Ridge Cut East,,RCE16,2000-03-23,1.35,50.4,6.91,57.3,2.18,210
RCE16,Ridge Cut East,,RCE16,2000-03-28,1.66,58.9,7.73,66.7,2.02,166
RCE16,Ridge Cut East,,RCE16,2000-04-03,2.27,65.5,14.27,79.8,2.93,176
RCE16,Ridge Cut East,,RCE16,2000-04-17,4.41,94.5,8.95,103.5,2.37,245
CBD99E,Colusa Basin Drain,,CBD99E,2000-02-20,1.33,32.4,8.14,40.6,2.58,273
CBD99E,Colusa Basin Drain,,CBD99E,2000-02-28,1.52,40.6,6.52,47.1,3.52,254
CBD99E,Colusa Basin Drain,,CBD99E,2000-05-21,1.18,21.8,6.07,27.9,2.28,209
CC113,Cache Creek,,CC113,2000-01-17,1.52,309,0.55,309.6,0.05,143
CC113,Cache Creek,,CC113,2000-01-26,0.81,79.8,4.86,84.7,0.13,240
CC113,Cache Creek,,CC113,2000-02-16,0.28,28.4,2.7,31.1,0.66,230
CC113,Cache Creek,,CC113,2000-02-28,0.16,12.7,0.71,13.4,0.59,216
CC113,Cache Creek,,CC113,2000-03-07,0.18,14.3,0.71,15,0.4,201
CC113,Cache Creek,,CC113,2000-03-17,0.15,30.3,0.24,30.5,0.12,150
CC113,Cache Creek,,CC113,2000-03-23,0.19,58.4,0.12,58.6,0.08,174
CC113,Cache Creek,,CC113,2000-03-28,0.22,62.2,0.22,62.4,0.08,127
CC113,Cache Creek,,CC113,2000-04-03,1.31,335,1.89,337,0.08,183
CC113,Cache Creek,,CC113,2000-04-17,0.81,119,0.34,119,0.18,163
CC113,Cache Creek,,CC113,2000-05-21,2.6,375,4.22,379,0.13,199
WS102,Willow Slough,,WS102,2000-01-26,6.06,380,11.8,391.8,4.94,170
WS102,Willow Slough,,WS102,2000-02-16,1.56,96,7.65,103.7,3.58,209
WS102,Willow Slough,,WS102,2000-02-28,1.18,103.7,3.95,107.6,3.29,219
WS102,Willow Slough,,WS102,2000-03-07,1.46,126.3,5.09,131.4,2.67,225
WS102,Willow Slough,,WS102,2000-03-17,0.27,52.8,0.16,53,0.07,32
WS102,Willow Slough,,WS102,2000-03-23,3.28,304,0.43,304,0.08,36
WS102,Willow Slough,,WS102,2000-03-28,10.86,458,0.4,458,1.29,265
WS102,Willow Slough,,WS102,2000-04-03,1.04,74.1,2.8,76.9,0.68,136
WS102,Willow Slough,,WS102,2000-04-17,5.72,109,21.63,130.6,4.6,174
WS102,Willow Slough,,WS102,2000-05-21,5.15,211,2.75,214,1.57,158
PCD,Putah Creek,,PCD,2000-01-17,1.02,183,2.36,185.4,0.76,251
PCD,Putah Creek,,PCD,2000-01-26,1.05,133,7.24,140.2,1.93,254
PCD,Putah Creek,,PCD,2000-02-16,0.77,84,21.98,105.9,5.97,244
PCD,Putah Creek,,PCD,2000-02-28,0.22,51.3,2.5,53.8,2.95,268
PCD,Putah Creek,,PCD_rerun,2000-02-28,0.22,51,2.32,53.3,2.92,266
PCD,Putah Creek,,PCD,2000-03-07,0.3,18.6,2.4,21,1.66,273
PCD,Putah Creek,,PCD_rerun,2000-03-07,0.3,18.4,2.46,20.9,1.63,272
PCD,Putah Creek,,PCD,2000-03-17,0.06,14.3,0.34,14.6,1.21,270
PCD,Putah Creek,,PCD,2000-03-23,0.29,12.2,0.38,12.6,1.01,245
PCD,Putah Creek,,PCD,2000-03-28,0.08,14.8,0.18,15,0.2,250
PCD,Putah Creek,,PCD,2000-04-03,0.36,87,0.71,87.7,5.24,268
PCD,Putah Creek,,PCD,2000-04-17,1.18,248,3.13,251,9.92,295
PCD,Putah Creek,,PCD,2000-05-21,1.35,201,2.5,204,5,303
Boat_A,Boat Sample – Band A,A,BAND A,2000-02-17,0.28,15.2,2.56,17.8,1.27,281
Boat_B,Boat Sample – Band B,B,BAND B,2000-02-17,0.22,15.8,3.12,18.9,1.15,268
Boat_B,Boat Sample – Band B,B,BAND B,2000-02-17,0.21,15.3,2.64,17.9,1.16,270
Boat_C,Boat Sample – Band C,C,BAND C,2000-02-17,0.25,15.6,3.1,18.7,1.46,279
Boat_D,Boat Sample – Band D,D,BAND D,2000-02-17,0.55,24.8,4.6,29.4,2,269
Boat_D,Boat Sample – Band D,D,BAND D,2000-02-17,0.55,25.1,4.55,29.7,1.96,268
Boat_A,Boat Sample – Band A,A,BAND A,2000-02-18,0.23,13.2,2.49,15.7,1.11,274
Boat_B,Boat Sample – Band B,B,BAND B,2000-02-18,0.15,11.5,0.72,12.2,0.92,272
Boat_C,Boat Sample – Band C,C,BAND C,2000-02-18,0.2,11.7,1.05,12.7,1.2,267
Boat_D,Boat Sample – Band D,D,BAND D,2000-02-18,1.59,39.7,5.75,45.4,3.17,220
Boat_B,Boat Sample – Band B,B,BAND B,2000-02-19,0.12,11.6,1.57,13.1,0.83,302
Boat_C,Boat Sample – Band C,C,BAND C,2000-02-19,0.17,10.6,2.16,12.8,1.06,283
Boat_D,Boat Sample – Band D,D,BAND D,2000-02-19,0.98,27.4,5.99,33.4,2.2,246
Boat_A,Boat Sample – Band A,A,BAND A,2000-02-20,0.15,12.2,1.27,13.5,0.93,308
Boat_B,Boat Sample – Band B,B,BAND B,2000-02-20,0.11,10.4,0.97,11.4,0.82,329
Boat_C,Boat Sample – Band C,C,BAND C,2000-02-20,0.16,9.3,1.26,10.5,1,316
Boat_D,Boat Sample – Band D,D,BAND D,2000-02-20,1.15,27,5.71,32.7,2.42,256
Outlet,Southern Outlet,,PS-1,2000-03-23,0.35,17.7,1.68,19.4,1.46,194
Outlet,Southern Outlet,,PS-2,2000-03-23,0.31,15.1,1.72,16.9,1.32,204
Outlet,Southern Outlet,,PS-3,2000-03-23,0.35,17.6,1.76,19.4,1.52,208
Outlet,Southern Outlet,,PS-1,2000-04-11,0.8,30,6.23,36.2,1.89,236
Outlet,Southern Outlet,,PS-2,2000-04-11,0.75,27.6,6.49,34.1,1.81,228
Outlet,Southern Outlet,,LH-1,2000-04-11,1.16,50.9,4.18,55.1,2.91,212
Outlet,Southern Outlet,,YB-1,2000-04-11,0.58,18.8,9.29,28.1,1.42,242
