Block_Code,Block_Name,Band,Site,Date,DOC,SUVA,SPM,PC,PN
FRW,Fremont Weir,,FRW,2000-03-07,2.9,0.079,145,,
FRW,Fremont Weir,,FRW,2000-03-17,1.3,,68,0.82,0.09
STTD,Lower Bypass,,STTD,2000-01-26,6.8,0.026,235,5.15,0.72
STTD,Lower Bypass,,STTD,2000-01-28,7.9,0.03,123,4.95,0.69
STTD,Lower Bypass,,STTD,2000-02-14,7.1,0.033,167,3.64,0.59
STTD,Lower Bypass,,STTD,2000-02-16,4.4,0.104,173,2.55,0.36
STTD,Lower Bypass,,STTD,2000-02-28,2.6,0.072,55,1.08,0.11
STTD,Lower Bypass,,STTD,2000-03-06,1.8,0.061,36,,
STTD,Lower Bypass,,STTD,2000-03-20,4.4,0.026,489,9.58,1.37
STTD,Lower Bypass,,STTD,2000-03-22,4.7,0.027,114,1.94,0.32
STTD,Lower Bypass,,STTD,2000-03-23,4.8,0.026,147,2.81,0.47
STTD,Lower Bypass,,STTD,2000-03-24,4.6,0.026,124,3.12,0.55
STTD,Lower Bypass,,STTD,2000-03-31,3.9,0.025,49,1.23,0.17
STTD,Lower Bypass,,STTD,2000-04-10,5,0.025,36,1.6,0.32
STTD,Lower Bypass,,STTD,2000-04-17,3.9,0.026,63,2.3,0.46
STTD,Lower Bypass,,STTD,2000-04-24,4.1,0.029,76,1.7,0.29
STTD,Lower Bypass,,STTD,2000-05-01,4.5,0.027,68,1.55,0.29
STTD,Lower Bypass,,STTD,2000-05-08,3.9,0.026,65,1.45,0.28
STTD,Lower Bypass,,STTD,2000-05-15,5.2,0.024,68,2.7,0.58
STTD,Lower Bypass,,STTD,2000-05-22,5.1,0.026,83,2.67,0.58
TD80,Toe Drain I-80,,TD80,2000-01-26,6.9,0.027,232,4.22,0.55
TD80,Toe Drain I-80,,TD80,2000-02-16,4.7,0.06,62,1.24,0.17
TD80,Toe Drain I-80,,TD80,2000-02-28,2.8,0.064,42,1.08,0.1
TD80,Toe Drain I-80,,TD80,2000-03-07,2,0.057,26,,
TD80,Toe Drain I-80,,TD80,2000-03-17,2.4,0.034,56,0.89,0.14
TD80,Toe Drain I-80,,TD80,2000-03-23,4.9,0.025,92,1.8,0.28
