Block_Code,Block_Name,Band,Site,Date,B,Ba,Ca,K,Mg,Na,S,Sr
FRW,Fremont Weir,,FRW,2000-03-07,0.04,0.02,10,1.3,5,6,9.4,0.06
FRW,Fremont Weir,,FRW,2000-03-17,0.04,0.02,13,1.2,6,7,10.6,0.09
STTD,Lower Bypass,,STTD,2000-01-26,0.53,0.09,39,3.9,34,95,8.1,0.51
STTD,Lower Bypass,,STTD,2000-01-28,0.46,0.08,35,5,30,83,8.5,0.46
STTD,Lower Bypass,,STTD,2000-01-31,0.37,0.08,36,4.8,33,94,9.2,0.48
STTD,Lower Bypass,,STTD,2000-02-02,0.43,0.09,38,4.1,33,84,8.9,0.5
STTD,Lower Bypass,,STTD,2000-02-03,0.62,0.09,37,3.9,32,85,8.3,0.49
STTD,Lower Bypass,,STTD,2000-02-07,0.58,0.09,39,4,34,86,9.1,0.5
STTD,Lower Bypass,,STTD,2000-02-09,0.66,0.1,41,4,36,93,8.9,0.53
STTD,Lower Bypass,,STTD,2000-02-11,0.61,0.1,40,4,36,91,8.8,0.52
STTD,Lower Bypass,,STTD,2000-02-14,0.43,0.07,28,3.5,21,58,6.4,0.34
STTD,Lower Bypass,,STTD,2000-02-16,0.11,0.03,13,2.1,9,13,8.5,0.12
STTD,Lower Bypass,,STTD,2000-02-25,0.07,0.02,13,1.5,7,10,10.8,0.1
STTD,Lower Bypass,,STTD,2000-02-28,0.05,0.02,12,1.4,6,8,9.8,0.09
STTD,Lower Bypass,,STTD,2000-03-06,0.04,0.02,12,1.3,6,8,10.2,0.09
STTD,Lower Bypass,,STTD,2000-03-20,0.42,0.06,28,2.4,20,34,7,0.3
STTD,Lower Bypass,,STTD,2000-03-22,0.5,0.07,32,2.5,29,46,6.5,0.35
STTD,Lower Bypass,,STTD,2000-03-23,0.5,0.08,33,2.5,31,50,6.3,0.37
STTD,Lower Bypass,,STTD,2000-03-24,0.51,0.08,33,2.6,31,49,6.1,0.36
STTD,Lower Bypass,,STTD,2000-03-27,0.6,0.08,33,2.6,33,49,6,0.37
STTD,Lower Bypass,,STTD,2000-03-31,0.68,0.09,34,2.5,35,56,4.8,0.41
STTD,Lower Bypass,,STTD,2000-04-10,0.6,0.11,43,3.1,40,86,6.2,0.54
STTD,Lower Bypass,,STTD,2000-04-17,1.46,0.13,47,3.5,49,87,7.7,0.55
STTD,Lower Bypass,,STTD,2000-04-24,0.6,0.07,28,2.5,23,40,5.8,0.33
STTD,Lower Bypass,,STTD,2000-05-01,0.85,0.1,35,2.9,33,62,6.8,0.42
STTD,Lower Bypass,,STTD,2000-05-08,1.22,0.11,40,3.5,40,71,6.8,0.49
STTD,Lower Bypass,,STTD,2000-05-15,1.09,0.09,32,3.3,33,53,4.2,0.38
STTD,Lower Bypass,,STTD,2000-05-22,1.17,0.09,34,3.4,34,56,4.1,0.4
TD80,Toe Drain I-80,,TD80,2000-01-26,0.48,0.08,39,4,30,98,8.1,0.54
TD80,Toe Drain I-80,,TD80,2000-02-16,0.03,0.02,11,2.3,8,12,8.4,0.09
TD80,Toe Drain I-80,,TD80,2000-02-28,0.03,0.02,12,1.5,7,10,9.5,0.09
TD80,Toe Drain I-80,,TD80,2000-03-07,0.03,0.02,11,1.7,8,11,10.4,0.09
TD80,Toe Drain I-80,,TD80,2000-03-17,0.11,0.03,17,1.9,13,18,10,0.16
TD80,Toe Drain I-80,,TD80,2000-03-23,0.63,0.09,38,3.1,35,90,6.1,0.48
TD80,Toe Drain I-80,,TD80,2000-03-28,0.93,0.09,38,3,39,76,5.3,0.48
TD80,Toe Drain I-80,,TD80,2000-04-03,0.8,0.1,44,3.5,43,114,6.3,0.54
TD80,Toe Drain I-80,,TD80,2000-04-17,1.47,0.09,41,3.3,52,98,8.8,0.48
TD80,Toe Drain I-80,,TD80,2000-05-21,1.06,0.09,34,3.7,32,69,5.4,0.41
TD5,Toe Drain I-5,,TD5,2000-01-26,0.23,0.08,38,4.7,31,108,8.9,0.52
TD5,Toe Drain I-5,,TD5,2000-02-16,-0.01,0.02,9,1.6,6,9,9.4,0.08
TD5,Toe Drain I-5,,TD5,2000-02-28,-0.01,0.02,11,1.5,7,8,11,0.09
TD5,Toe Drain I-5,,TD5,2000-03-07,-0.01,0.02,12,1.5,7,10,11.1,0.09
TD5,Toe Drain I-5,,TD5,2000-03-17,0.08,0.04,22,1.9,15,20,9.3,0.23
TD5,Toe Drain I-5,,TD5,2000-03-23,0.44,0.08,40,2.7,31,80,5.9,0.5
TD5,Toe Drain I-5,,TD5,2000-03-28,0.72,0.09,40,3.1,39,90,4.8,0.52
TD5,Toe Drain I-5,,TD5,2000-04-03,0.54,0.1,45,2.9,36,106,5.6,0.57
TD5,Toe Drain I-5,,TD5,2000-04-17,1.8,0.14,49,3.9,49,81,6.7,0.55
TD5,Toe Drain I-5,,TD5,2000-05-21,1.16,0.11,41,4,34,79,6.6,0.49
RCW16,Ridge Cut West,,RCW16,2000-01-26,0.2,0.08,36,5.1,30,105,10.4,0.49
RCW16,Ridge Cut West,,RCW16,2000-02-16,0.11,0.06,22,4,15,44,6.6,0.28
RCW16,Ridge Cut West,,RCW16,2000-03-07,0.12,0.06,29,3.2,21,68,7.4,0.38
RCE16,Ridge Cut East,,RCE16,2000-01-26,0.18,0.08,32,5,27,100,9.1,0.47
RCE16,Ridge Cut East,,RCE16,2000-02-16,0.1,0.05,22,4,15,46,6.5,0.28
RCE16,Ridge Cut East,,RCE16,2000-02-20,0.12,0.07,29,3.9,22,65,8.4,0.4
RCE16,Ridge Cut East,,RCE16,2000-02-28,0.14,0.07,31,4,24,75,8.2,0.41
RCE16,Ridge Cut East,,RCE16,2000-03-07,0.13,0.06,29,3,22,68,7.3,0.39
RCE16,Ridge Cut East,,RCE16,2000-03-17,0.28,0.09,44,3.6,34,106,7.8,0.53
RCE16,Ridge Cut East,,RCE16,2000-03-23,0.25,0.08,41,3,33,105,6.8,0.55
RCE16,Ridge Cut East,,RCE16,2000-03-28,0.33,0.1,48,3.3,41,133,5.7,0.62
RCE16,Ridge Cut East,,RCE16,2000-04-03,0.28,0.09,40,2.9,30,106,5.6,0.58
RCE16,Ridge Cut East,,RCE16,2000-04-17,1.1,0.11,55,3.6,44,84,7.6,0.67
CBD99E,Colusa Basin Drain,,CBD99E,2000-02-20,0.2,0.07,30,4,22,70,8.4,0.4
CBD99E,Colusa Basin Drain,,CBD99E,2000-02-28,0.2,0.08,32,3.6,22,69,7.8,0.41
CBD99E,Colusa Basin Drain,,CBD99E,2000-05-21,0.21,0.07,26,2.1,18,58,6.3,0.33
CC113,Cache Creek,,CC113,2000-01-26,1.86,0.11,32,3.6,42,68,7.7,0.45
CC113,Cache Creek,,CC113,2000-02-16,0.65,0.06,21,1.9,22,18,7.1,0.27
CC113,Cache Creek,,CC113,2000-02-28,0.44,0.04,19,1.6,22,16,7,0.24
CC113,Cache Creek,,CC113,2000-03-07,0.56,0.05,21,1.6,22,16,6,0.26
CC113,Cache Creek,,CC113,2000-03-17,0.89,0.07,26,2,25,18,4.8,0.31
