Site,Block_Code,Block_Name,Description
FRW,FRW,Fremont Weir,Fremont Weir at the northern entrance of the Yolo Bypass
STTD,STTD,Lower Bypass,Lower Yolo Bypass at Sacramento Treatment Plant Drain (STTD)
TD80,TD80,Toe Drain I-80,Toe Drain near Interstate 80 crossing
TD5,TD5,Toe Drain I-5,Toe Drain near Interstate 5 crossing
RCW16,RCW16,Ridge Cut West,Ridge Cut Canal west side at Road 16
RCE16,RCE16,Ridge Cut East,Ridge Cut Canal east side at Road 16
CBD99E,CBD99E,Colusa Basin Drain,Colusa Basin Drain at Road 99E
CC113,CC113,Cache Creek,Cache Creek at Road 113
WS102,WS102,Willow Slough,Willow Slough at Road 102
PCD,PCD,Putah Creek,Putah Creek at Old Davis Road
BANDA,Boat_A,Boat Sample – Band A,Yolo Bypass boat transect – East Side (Band A)
BANDB,Boat_B,Boat Sample – Band B,Yolo Bypass boat transect – Mid‑East (Band B)
BANDC,Boat_C,Boat Sample – Band C,Yolo Bypass boat transect – Mid‑West (Band C)
BANDD,Boat_D,Boat Sample – Band D,Yolo Bypass boat transect – West Side (Band D)
PS1,Outlet,Southern Outlet,Prospect Slough station PS‑1 near southern outlet
PS2,Outlet,Southern Outlet,Prospect Slough station PS‑2 near southern outlet
PS3,Outlet,Southern Outlet,Prospect Slough station PS‑3 near southern outlet
LH1,Outlet,Southern Outlet,Little Holland Tract station near southern outlet
YB1,Outlet,Southern Outlet,Yolo Bypass station near southern outlet
