Block_Code,Block_Name,Band,Site,Date,Specific_Conductance,Chloride,Sulfate,NO2,NplusN,NH4,DIN,DRP,DiSi,DOC,SUVA,SPM,PC,PN,B,Ba,Ca,K,Mg,Na,S,Sr
FRW,Fremont Weir,NA,FRW,2000-03-07,121,3,9,0.14,11.1,0.89,12,1.09,308,2.9,0.079,145,NA,NA,0.04,0.02,10,1.3,5,6,9.4,0.06
FRW,Fremont Weir,NA,FRW,2000-03-17,147,4,10,0.08,14.1,0.33,14.4,0.68,339,1.3,NA,68,0.82,0.09,0.04,0.02,13,1.2,6,7,10.6,0.09
STTD,Lower Bypass,NA,STTD,2000-01-26,790,49,104,3.59,73.5,9.16,82.7,5.41,243,6.8,0.026,235,5.15,0.72,0.53,0.09,39,3.9,34,95,8.1,0.51
STTD,Lower Bypass,NA,STTD,2000-01-28,712,43,100,2.87,76.2,14.7,90.9,4.62,273,7.9,0.03,123,4.95,0.69,0.46,0.08,35,5,30,83,8.5,0.46
STTD,Lower Bypass,NA,STTD,2000-01-31,728,41,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37,0.08,36,4.8,33,94,9.2,0.48
STTD,Lower Bypass,NA,STTD,2000-02-02,747,42,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,0.09,38,4.1,33,84,8.9,0.5
STTD,Lower Bypass,NA,STTD,2000-02-03,753,49,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.62,0.09,37,3.9,32,85,8.3,0.49
STTD,Lower Bypass,NA,STTD,2000-02-07,769,48,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58,0.09,39,4,34,86,9.1,0.5
STTD,Lower Bypass,NA,STTD,2000-02-09,823,52,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.66,0.1,41,4,36,93,8.9,0.53
STTD,Lower Bypass,NA,STTD,2000-02-11,810,51,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61,0.1,40,4,36,91,8.8,0.52
STTD,Lower Bypass,NA,STTD,2000-02-14,570,35,68,1.63,58.6,12.08,70.7,4.08,205,7.1,0.033,167,3.64,0.59,0.43,0.07,28,3.5,21,58,6.4,0.34
STTD,Lower Bypass,NA,STTD,2000-02-16,201,10,16,0.53,22.1,4.43,26.5,1.88,271,4.4,0.104,173,2.55,0.36,0.11,0.03,13,2.1,9,13,8.5,0.12
STTD,Lower Bypass,NA,STTD,2000-02-25,169,7,11,0.17,15.6,0.89,16.5,1.25,352,NA,NA,NA,NA,NA,0.07,0.02,13,1.5,7,10,10.8,0.1
STTD,Lower Bypass,NA,STTD,2000-02-28,146,5,10,0.17,12.5,0.9,13.4,0.99,321,2.6,0.072,55,1.08,0.11,0.05,0.02,12,1.4,6,8,9.8,0.09
STTD,Lower Bypass,NA,STTD,2000-03-06,146,5,10,0.15,10.5,0.77,11.3,0.84,327,1.8,0.061,36,NA,NA,0.04,0.02,12,1.3,6,8,10.2,0.09
STTD,Lower Bypass,NA,STTD,2000-03-20,476,23,44,0.2,6.8,2.03,8.8,1.22,221,4.4,0.026,489,9.58,1.37,0.42,0.06,28,2.4,20,34,7,0.3
STTD,Lower Bypass,NA,STTD,2000-03-22,534,27,51,0.35,16.1,2.8,18.9,1.36,200,4.7,0.027,114,1.94,0.32,0.5,0.07,32,2.5,29,46,6.5,0.35
STTD,Lower Bypass,NA,STTD,2000-03-23,574,30,57,0.4,19.3,2.19,21.5,1.6,206,4.8,0.026,147,2.81,0.47,0.5,0.08,33,2.5,31,50,6.3,0.37
STTD,Lower Bypass,NA,STTD,2000-03-24,559,30,54,0.61,20.7,5.49,26.2,1.62,194,4.6,0.026,124,3.12,0.55,0.51,0.08,33,2.6,31,49,6.1,0.36
STTD,Lower Bypass,NA,STTD,2000-03-27,568,31,50,0.81,25.2,6.26,31.4,1.64,188,NA,NA,NA,NA,NA,0.6,0.08,33,2.6,33,49,6,0.37
STTD,Lower Bypass,NA,STTD,2000-03-31,640,37,61,1.3,36.6,11.63,48.3,2.05,161,3.9,0.025,49,1.23,0.17,0.68,0.09,34,2.5,35,56,4.8,0.41
STTD,Lower Bypass,NA,STTD,2000-04-10,824,53,92,3.18,101.4,6.15,107.5,5.03,203,5,0.025,36,1.6,0.32,0.6,0.11,43,3.1,40,86,6.2,0.54
STTD,Lower Bypass,NA,STTD,2000-04-17,921,77,71,4.62,136,6.85,143,7.52,256,3.9,0.026,63,2.3,0.46,1.46,0.13,47,3.5,49,87,7.7,0.55
STTD,Lower Bypass,NA,STTD,2000-04-24,464,25,40,1.67,45,4.63,49.6,2.27,188,4.1,0.029,76,1.7,0.29,0.6,0.07,28,2.5,23,40,5.8,0.33
STTD,Lower Bypass,NA,STTD,2000-05-01,654,45,55,3.27,84.1,11.29,95.4,4.98,222,4.5,0.027,68,1.55,0.29,0.85,0.1,35,2.9,33,62,6.8,0.42
STTD,Lower Bypass,NA,STTD,2000-05-08,763,62,55,5.31,154,9.4,163,8.46,227,3.9,0.026,65,1.45,0.28,1.22,0.11,40,3.5,40,71,6.8,0.49
STTD,Lower Bypass,NA,STTD,2000-05-15,604,44,45,2.05,95.1,2.5,97.6,4.45,142,5.2,0.024,68,2.7,0.58,1.09,0.09,32,3.3,33,53,4.2,0.38
STTD,Lower Bypass,NA,STTD,2000-05-22,642,49,48,2.24,94.8,5.82,100.6,5.26,128,5.1,0.026,83,2.67,0.58,1.17,0.09,34,3.4,34,56,4.1,0.4
TD80,Toe Drain I-80,NA,TD80,2000-01-26,832,51,118,2.13,71.5,23.2,94.7,4.72,264,6.9,0.027,232,4.22,0.55,0.48,0.08,39,4,30,98,8.1,0.54
TD80,Toe Drain I-80,NA,TD80,2000-02-16,163,7,13,0.46,19.7,3.62,23.3,1.54,255,4.7,0.06,62,1.24,0.17,0.03,0.02,11,2.3,8,12,8.4,0.09
TD80,Toe Drain I-80,NA,TD80,2000-02-28,160,6,11,0.26,15.2,1,16.2,1.19,308,2.8,0.064,42,1.08,0.1,0.03,0.02,12,1.5,7,10,9.5,0.09
TD80,Toe Drain I-80,NA,TD80,2000-03-07,153,5,11,0.2,12.8,0.66,13.4,0.97,309,2,0.057,26,NA,NA,0.03,0.02,11,1.7,8,11,10.4,0.09
TD80,Toe Drain I-80,NA,TD80,2000-03-17,262,11,23,0.27,14.7,0.45,15.1,1.08,304,2.4,0.034,56,0.89,0.14,0.11,0.03,17,1.9,13,18,10,0.16
TD80,Toe Drain I-80,NA,TD80,2000-03-23,715,42,87,0.72,33.8,2.65,36.4,1.69,186,4.9,0.025,92,1.8,0.28,0.63,0.09,38,3.1,35,90,6.1,0.48
TD80,Toe Drain I-80,NA,TD80,2000-03-28,705,45,71,0.84,37,4.04,41,1.15,159,4.1,0.024,77,1.79,0.34,0.93,0.09,38,3,39,76,5.3,0.48
TD80,Toe Drain I-80,NA,TD80,2000-04-03,833,54,93,1.6,68.2,11.29,79.5,3.44,188,5.1,0.026,103,2.2,0.37,0.8,0.1,44,3.5,43,114,6.3,0.54
TD80,Toe Drain I-80,NA,TD80,2000-04-17,911,75,84,2.95,82.5,10.31,92.8,6.17,290,3.9,0.026,139,2.79,0.5,1.47,0.09,41,3.3,52,98,8.8,0.48
TD80,Toe Drain I-80,NA,TD80,2000-05-21,678,52,60,2.68,71.4,15.5,86.9,7.6,174,5.9,0.025,116,3.84,0.71,1.06,0.09,34,3.7,32,69,5.4,0.41
TD5,Toe Drain I-5,NA,TD5,2000-01-26,783,41,124,2.28,77.1,16,93.1,4.17,276,7.8,0.031,363,3.97,0.59,0.23,0.08,38,4.7,31,108,8.9,0.52
TD5,Toe Drain I-5,NA,TD5,2000-02-16,128,5,10,0.26,19.3,2.11,21.4,1.13,287,3.8,0.075,107,1.97,0.29,-0.01,0.02,9,1.6,6,9,9.4,0.08
TD5,Toe Drain I-5,NA,TD5,2000-02-28,138,4,9,0.12,11.5,0.45,12,0.86,342,2,0.059,49,1.14,0.14,-0.01,0.02,11,1.5,7,8,11,0.09
TD5,Toe Drain I-5,NA,TD5,2000-03-07,157,7,10,0.16,15.5,0.79,16.3,1.03,337,2,0.061,60,NA,NA,-0.01,0.02,12,1.5,7,10,11.1,0.09
TD5,Toe Drain I-5,NA,TD5,2000-03-17,363,16,39,0.46,21.2,1.53,22.7,1.63,293,3.5,0.032,131,2.27,0.33,0.08,0.04,22,1.9,15,20,9.3,0.23
TD5,Toe Drain I-5,NA,TD5,2000-03-23,731,42,92,1.05,45.1,4.7,49.8,1.94,192,5.4,0.026,78,1.56,0.26,0.44,0.08,40,2.7,31,80,5.9,0.5
TD5,Toe Drain I-5,NA,TD5,2000-03-28,741,44,88,1.1,46.6,3.39,50,1.05,144,4.5,0.024,68,1.59,0.34,0.72,0.09,40,3.1,39,90,4.8,0.52
TD5,Toe Drain I-5,NA,TD5,2000-04-03,837,52,107,1.5,79.2,3.51,82.7,2.78,171,5.8,0.026,94,2.48,0.5,0.54,0.1,45,2.9,36,106,5.6,0.57
TD5,Toe Drain I-5,NA,TD5,2000-04-17,805,66,50,2.26,268,2.31,270,5.99,202,2.2,0.024,80,1.61,0.28,1.8,0.14,49,3.9,49,81,6.7,0.55
TD5,Toe Drain I-5,NA,TD5,2000-05-21,778,75,61,1.76,224,2.16,226,9.59,218,4.4,0.023,46,2.51,0.52,1.16,0.11,41,4,34,79,6.6,0.49
RCW16,Ridge Cut West,NA,RCW16,2000-01-26,744,38,115,2.57,81.7,14.5,96.2,4.31,275,NA,NA,NA,NA,NA,0.2,0.08,36,5.1,30,105,10.4,0.49
RCW16,Ridge Cut West,NA,RCW16,2000-02-16,442,24,62,1.95,55.3,11.83,67.1,3.75,212,NA,NA,NA,NA,NA,0.11,0.06,22,4,15,44,6.6,0.28
RCW16,Ridge Cut West,NA,RCW16,2000-03-07,554,28,69,1.24,45.4,4.57,50,2.88,227,NA,NA,NA,NA,NA,0.12,0.06,29,3.2,21,68,7.4,0.38
RCE16,Ridge Cut East,NA,RCE16,2000-01-26,725,35,112,2.59,81.2,14.1,95.3,3.91,277,NA,NA,NA,NA,NA,0.18,0.08,32,5,27,100,9.1,0.47
RCE16,Ridge Cut East,NA,RCE16,2000-02-16,442,24,63,2.03,56.9,11.76,68.7,3.55,215,NA,NA,NA,NA,NA,0.1,0.05,22,4,15,46,6.5,0.28
RCE16,Ridge Cut East,NA,RCE16,2000-02-20,600,30,83,1.37,34.1,7.98,42.1,2.77,274,NA,NA,NA,NA,NA,0.12,0.07,29,3.9,22,65,8.4,0.4
RCE16,Ridge Cut East,NA,RCE16,2000-02-28,588,30,79,1.52,44.7,6.3,51,3.59,255,NA,NA,NA,NA,NA,0.14,0.07,31,4,24,75,8.2,0.41
RCE16,Ridge Cut East,NA,RCE16,2000-03-07,571,29,72,1.19,46.7,4.7,51.4,2.76,225,NA,NA,NA,NA,NA,0.13,0.06,29,3,22,68,7.3,0.39
RCE16,Ridge Cut East,NA,RCE16,2000-03-17,780,41,102,1.23,43.6,5.46,49,2.9,224,NA,NA,NA,NA,NA,0.28,0.09,44,3.6,34,106,7.8,0.53
RCE16,Ridge Cut East,NA,RCE16,2000-03-23,784,42,108,1.35,50.4,6.91,57.3,2.18,210,NA,NA,NA,NA,NA,0.25,0.08,41,3,33,105,6.8,0.55
RCE16,Ridge Cut East,NA,RCE16,2000-03-28,891,51,129,1.66,58.9,7.73,66.7,2.02,166,NA,NA,NA,NA,NA,0.33,0.1,48,3.3,41,133,5.7,0.62
RCE16,Ridge Cut East,NA,RCE16,2000-04-03,842,46,113,2.27,65.5,14.27,79.8,2.93,176,NA,NA,NA,NA,NA,0.28,0.09,40,2.9,30,106,5.6,0.58
RCE16,Ridge Cut East,NA,RCE16,2000-04-17,895,76,87,4.41,94.5,8.95,103.5,2.37,245,NA,NA,NA,NA,NA,1.1,0.11,55,3.6,44,84,7.6,0.67
CBD99E,Colusa Basin Drain,NA,CBD99E,2000-02-20,613,31,85,1.33,32.4,8.14,40.6,2.58,273,NA,NA,NA,NA,NA,0.2,0.07,30,4,22,70,8.4,0.4
CBD99E,Colusa Basin Drain,NA,CBD99E,2000-02-28,612,31,84,1.52,40.6,6.52,47.1,3.52,254,7.9,0.051,79,1.41,0.17,0.2,0.08,32,3.6,22,69,7.8,0.41
CBD99E,Colusa Basin Drain,NA,CBD99E,2000-05-21,515,23,83,1.18,21.8,6.07,27.9,2.28,209,6.1,0.024,67,1.96,0.36,0.21,0.07,26,2.1,18,58,6.3,0.33
CC113,Cache Creek,NA,CC113,2000-01-26,702,78,52,0.81,79.8,4.86,84.7,0.13,240,5,0.031,151,3.31,0.48,1.86,0.11,32,3.6,42,68,7.7,0.45
CC113,Cache Creek,NA,CC113,2000-02-16,389,26,29,0.28,28.4,2.7,31.1,0.66,230,4.1,0.049,271,3.04,0.39,0.65,0.06,21,1.9,22,18,7.1,0.27
CC113,Cache Creek,NA,CC113,2000-02-28,334,14,26,0.16,12.7,0.71,13.4,0.59,216,3.5,0.05,401,3.99,0.44,0.44,0.04,19,1.6,22,16,7,0.24
CC113,Cache Creek,NA,CC113,2000-03-07,359,14,25,0.18,14.3,0.71,15,0.4,201,2.8,0.04,382,NA,NA,0.56,0.05,21,1.6,22,16,6,0.26
CC113,Cache Creek,NA,CC113,2000-03-17,416,20,25,0.15,30.3,0.24,30.5,0.12,150,2.3,0.02,87,1.35,0.14,0.89,0.07,26,2,25,18,4.8,0.31
CC113,Cache Creek,NA,CC113,2000-03-23,544,35,34,0.19,58.4,0.12,58.6,0.08,174,2,0.02,38,0.59,0.07,1.13,0.09,33,2.4,33,37,5.6,0.41
CC113,Cache Creek,NA,CC113,2000-03-28,550,35,33,0.22,62.2,0.22,62.4,0.08,127,2.3,0.02,15,0.52,0.1,1.26,0.1,34,2.6,35,40,4.1,0.41
CC113,Cache Creek,NA,CC113,2000-04-03,747,49,41,1.31,335,1.89,337,0.08,183,1.3,0.023,25,0.49,0.08,1.83,0.15,51,3,46,56,5.8,0.55
CC113,Cache Creek,NA,CC113,2000-04-17,498,30,26,0.81,119,0.34,119,0.18,163,1.7,0.023,32,0.73,0.12,1.08,0.1,32,2.2,30,36,5.2,0.38
