station,model,start,end,notes
KNG3,MiniDOT,,,
CNW,MiniDOT,,,
YBLR4,MiniDOT,,,
SB4,MiniDOT,,,
I80,MiniDOT,,,
TEW,MiniDOT,,,
TER,MiniDOT,,,
KNG3,EC,12/09/2025 09:30,03/07/2026 16:00,drops close to 0 from 1/24/2026 7:30 til 1/8/2026 5:30
CNW,EC,01/20/2026 12:00,03/05/2026 22:30,drops low 3/4/2026 21:00 til 3/5/2026 12:00
YBLR4,EC,12/23/2025 00:30,03/18/2026 14:00,
SB4,EC,12/27/2025 01:30,03/15/2026 05:30,drops close to 0 from 1/27/2026 22:00 til 2/3/2026 15:30
I80,EC,11/01/2025 00:30,05/06/2026 08:30,
TEW,EC,11/04/2025 14:30,04/05/2026 13:00,
TER,EC,11/18/2025 14:30,01/24/2026 10:30,
