Sorter,Category,Taxa_identified,Common_name,Group_family,Group_finescale,Group_guts,Group_zoop,Group_Matt_simple,Group_Granular,Group_manuscript,Group_Broad,Phylum,Subphylum,Class,Subclass,Order,Suborder,Family,Genus,Species,Body_size_mm,Size_class,mass_ug,Biomass_citation,Indicator_species,Traits,Citations,Comment
1,Other,gammarus,Scuds,Amphipoda,Gammaridae,Amphipoda,Amphipoda,Rare,Amphipoda,Rare,Other,Arthropoda,Crustacea,Malacostraca,NA,Amphipoda,NA,Gammaridae,Gammarus,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Other,hyalella,Scuds,Amphipoda,Hyalellidae,Amphipoda,Amphipoda,Rare,Amphipoda,Rare,Other,Arthropoda,Crustacea,Malacostraca,NA,Amphipoda,NA,Hyalellidae,Hyallela,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Other,corophiidae,NA,Amphipoda,Corophiidae,Amphipoda,Amphipoda,Rare,Amphipoda,Rare,Other,Arthropoda,Crustacea,Malacostraca,NA,Amphipoda,Corophiidea,Corophiidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Other,amphipoda,NA,Amphipoda,Amphipoda,Amphipoda,Amphipoda,Rare,Amphipoda,Rare,Other,Arthropoda,Crustacea,Malacostraca,NA,Amphipoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Other,malacostraca,NA,Amphipoda,Malacostraca,Amphipoda,Amphipoda,Rare,Amphipoda,Rare,Other,Arthropoda,Crustacea,Malacostraca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Other,decapoda,NA,Amphipoda,Decapoda,Amphipoda,Amphipoda,Rare,Amphipoda,Rare,Other,Arthropoda,Crustacea,Malacostraca,NA,decapoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Other,isopoda,Wood lice,Amphipoda,Isopoda,Amphipoda,Amphipoda,Rare,Amphipoda,Rare,Other,Arthropoda,Crustacea,Malacostraca,NA,Isopoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Small Cladoceran,bosmina,Water fleas,Bosminidae,Bosminidae,Cladocera,Small cladocera,Small cladocera,Cladocera,Small cladocera,Cladocera,Arthropoda,Crustacea,Branchipoda,NA,Diplostraca,Cladocera,Bosminidae,Bosmina,NA,0.6,NA,NA,https://www.jstor.org/stable/4215097?seq=4,NA,NA,https://academic.oup.com/zoolinnean/article/187/4/1119/5580370,NA
2,Small Cladoceran,sphaericus,Water fleas,Chydoridae,Chydoridae,Cladocera,Small cladocera,Small cladocera,Cladocera,Small cladocera,Cladocera,Arthropoda,Crustacea,Branchipoda,NA,Diplostraca,Cladocera,Chydoridae,Chydorus,sphaericus,0.48,NA,NA,NA,NA,NA,NA,NA
2,Small Cladoceran,alona,Water fleas,Chydoridae,Chydoridae,Cladocera,Small cladocera,Small cladocera,Cladocera,Small cladocera,Cladocera,Arthropoda,Crustacea,Branchipoda,NA,Diplostraca,Cladocera,Chydoridae,Alona,NA,0.59,Large,NA,NA,NA,NA,NA,NA
